MovieID,Title,Year,Actor,Role,Issue,Reason,Confidence,RecommendedFix
98bb4726-2efb-47fb-ba2b-8d754dc000d7,Ranger,2026,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
9767447a-4084-4e79-9633-0717a00e3e38,VVAN,2026,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
a6e90e17-87ba-452b-8e42-f0f5629f6959,The Girlfriend,2025,Rashmika Mandanna,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
ce2290ce-e813-4c31-ae80-e1d7ec5aead3,Fear,2024,Vedhika,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
2bf9a911-89ad-4f8f-be79-ad90f0d1a5ee,Rush,2024,Daisy Bopanna,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
fbd020cb-bc9b-4680-b0c8-b555760a7a3a,Anthima Theerpu,2024,Sai Dhanshika,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
35514c0c-110a-40dc-b06f-21a5972f7133,105 Minuttess,2024,Hansika Motwani,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
d1d9e511-7304-458e-a817-b39c2088ed26,Satyabhama,2024,Kajal Aggarwal,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
eddff649-b360-4fe3-8592-e7291c0beeff,Tom And Jerry,2024,Chaitra Rao,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
24166679-2203-4ffb-97f7-48e25b85db71,Aranmanai 4,2024,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
0c45340d-f37b-4533-a1e2-aa6606fb9ecf,Sikandar Ka Muqaddar,2024,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
1f8fa34e-41ed-4a79-8581-421273cd1d21,The Trial,2023,Spandana Palli,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
7e667857-1914-4376-aff9-235e6c44de5a,The Eye,2023,Shruti Haasan,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
cdb7d075-9dc2-4ddf-8fcf-43f14d1c8380,Ghosty,2023,Kajal Aggarwal,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
f120b7da-6bd9-40da-90d4-f65d523e7b8a,Karungaapiyam,2023,Kajal Aggarwal,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
5e42bbda-be4e-482d-b9c6-c01c75d13458,Bandra,2023,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
fa63be3d-3928-4d74-908b-d88dba6ef241,Plan A Plan B,2022,Tamannaah Bhatia,hero,impossible_pairing,Same person listed as both hero and heroine,100.0%,Check data entry error
