ID,Title (English),Title (Telugu),Year,Language,Quality,Hero,Heroine,Director,Music Director,Producer,Writer,Cinematographer,Editor,Our Rating,TMDB Rating,Has Poster,Poster URL,Genres,Duration (min),Synopsis,TMDB ID,IMDb ID,Slug,Created At,Issues/Notes
4d62b72f-b132-4507-97be-ff2aceebc96f,"Ramam Raghavam","",2025,Telugu,Excellent,"Samuthirakani","Mokksha","Dhanraj Koranani","disambiguation","","Dmitrii Lukianov","","",6,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Dhanraj_Mahal_Front_View.jpg/330px-Dhanraj_Mahal_Front_View.jpg,"Documentary",,"Dhanraj is a forthcoming Telugu film set to release in 2025, with details about the plot and characters currently under wraps. The title 'Dhanraj' suggests a potential theme related to wealth or prosp",1230008,,dhanraj-2025,2026-01-04,""
66a71777-30bc-41a8-85d7-c04d7245aaf7,"Super Raja","",2025,Telugu,Excellent,"Super Raja","Chandana Palanki","Super Raja","Sidharth Sadasivuni","Super Raja","Super Raja","","",6,,YES,https://upload.wikimedia.org/wikipedia/en/d/d8/Raja_%282002%29.jpg,"Comedy, Adventure",,"Super Raja is an upcoming Telugu film directed by S, set to release in 2025. The movie's plot and characters are currently unknown, but based on the title, it may revolve around a heroic character who",1543431,,super-raja-2025,2026-01-04,""
4f1d41e1-1abd-49cc-be6b-06cb1301e013,"Jack","",2025,Telugu,Excellent,"Siddhu Jonnalagadda","Pam Grier","Quentin Tarantino","Achu Rajamani","Lawrence Bender","Quentin Tarantino","Guillermo Navarro","",6.7,6.7,YES,https://image.tmdb.org/t/p/w500/rOUx7qg4KmEh1juEDwqzbDSL1Nr.jpg,"Crime, Drama, Thriller",,"An unconventional anti-terrorist operative must defy his bosses in order to foil a devastating attack on his nation in this action thriller.",184,tt28622758,jack-2025,2026-01-04,""
e71bb9ed-1463-4581-a97f-3049c5755cb9,"Buddy","",2024,Telugu,Excellent,"Allu Sirish","Gayatri Bhardwaj","Sam Anton","HipHop Tamizha Adhi","K. E. Gnanavelraja","Sam Anton","","",3.5,3.5,YES,https://image.tmdb.org/t/p/w500/4kBQXF9Yxkqje4Ss43vHDwqDHtu.jpg,"Action, Comedy",,"Buddy is a 2024 Indian Telugu-language fantasy action film written and directed by Sam Anton and produced by K. E. Gnanavel Raja and Aadhana Gnanavelraja under the banner of Studio Green. The film sta",1230407,tt26235048,buddy-2024,2026-01-04,""
7fe26824-3387-450e-836c-9d787e256768,"Devil","",2023,Telugu,Excellent,"David Dastmalchian","Laura Gordon","Cameron Cairnes","Glenn Richards","Steven Schneider","Cameron Cairnes","Matthew Temple","",6.7,6.7,YES,https://image.tmdb.org/t/p/w500/mu8LRWT9GHkfiyHm7kgxT6YNvMW.jpg,"Horror",,"In the 2023 horror film Devil, David Dastmalchian plays a character who finds himself entangled in a terrifying situation, possibly uncovering dark secrets or confronting supernatural forces. The movi",938614,,devil-2023,2026-01-04,""
7c4d5d48-47b7-427f-ada0-fb8b79ae2ddf,"Swathimuthyam","",2022,Telugu,Excellent,"Sithara Entertainments","Rashmika Mandanna","Lakshman K Krishna","","","","","",6,,YES,https://upload.wikimedia.org/wikipedia/commons/a/a3/Kamal_Haasan_at_2023_San_Diego_Comic-Con_International_by_Gage_Skidmore%2C_005_%28cropped%29.jpg,"Drama, Romance",,"Lakshman K Krishna is a 2022 Telugu film that appears to be an action-drama, potentially revolving around the life of a character named Lakshman, played by a lead actor, as he navigates through challe",935515,,lakshman-k-krishna-2022,2026-01-02,"No music director"
8a2518f7-6f12-4bd9-b4b7-fe0b8a8a4929,"Love Story","",2021,Telugu,Excellent,"Naga Chaitanya Akkineni","Sai Pallavi","Sekhar Kammula","Josiah Steinbrick","Anaamika","Jeff Baena","Sean McElwee","",7.5,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Shekhar_Kammula.jpg/330px-Shekhar_Kammula.jpg,"Romance, Drama",,"The movie, directed by Sekhar Kammula, likely explores themes of love, family, and relationships, which are common in Telugu cinema. Given Sekhar Kammula's style, the film may follow a young couple na",653601,,sekhar-kammula-2021,2026-01-04,""
b07d5abc-94ee-460c-9251-4c3a91bda391,"Check","",2021,Telugu,Excellent,"Nithiin","Rakul Preet Singh","Chandra Sekhar Yeleti","","Just Yellow Media","","","",7.5,,YES,https://upload.wikimedia.org/wikipedia/commons/4/4f/Chandrasekharyeleti.jpg,"Thriller, Action",,"Chandra Sekhar Yeleti appears to be a biographical drama, possibly exploring the life and experiences of a person named Chandra Sekhar Yeleti, who is actually a well-known Telugu film director. The mo",781844,,chandra-sekhar-yeleti-2021,2026-01-02,"No music director"
77f672f6-8a85-427d-81c7-ceee669827eb,"Seetimaarr","",2021,Telugu,Excellent,"Gopichand","Tamannaah Bhatia","Sampath Nandi","Sampath Nandi","","","","",5,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Sampath_Nandi.jpg/330px-Sampath_Nandi.jpg,"Action, Drama",,"Sampath Nandi is a 2021 Telugu film directed by Sampath Nandi, starring Gopichand and Tamannaah in lead roles. The movie likely revolves around an action-packed storyline with Gopichand playing the pr",630138,,sampath-nandi-2021,2026-01-04,""
b1a6907b-f9a9-4e3f-9783-3e436c248901,"Most Eligible Bachelor","",2021,Telugu,Excellent,"Akhil Akkineni","Pooja Hegde","Bhaskar","Bhediya","Patrick Quinet","Douglas Attal","Nicolas Loir","",5,,YES,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/MS_Bhaskar_at_Dharmadurai_Success_Meet.jpg/330px-MS_Bhaskar_at_Dharmadurai_Success_Meet.jpg,"Romance, Comedy",,"Bhaskar is a 2021 Telugu film that likely revolves around the life of its titular character, Bhaskar, and his journey through various challenges and experiences. The movie may explore themes of self-d",641501,,bhaskar-2021,2026-01-04,""
