ID1,Title1,Year1,ID2,Title2,Year2,TitleSimilarity,YearDiff,Confidence,LikelyReason,ManualReview
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,100.0%,0,85.0%,transliteration_variant,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,100.0%,0,85.0%,transliteration_variant,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,06f3f75f-deac-4135-8aaa-69079d66d428,Toxic: A Fairy Tale for Grown-Ups,2026,100.0%,0,85.0%,transliteration_variant,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,19b0b6c1-8d9a-4b52-bd5b-1311969b76d0,Peddi,2026,100.0%,0,85.0%,unknown_variation,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,3500c2bf-3823-4b04-8aa3-0b9483d8d272,The Raja Saab,2026,100.0%,0,85.0%,transliteration_variant,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,16903466-e6f6-46ff-9d24-f7a2f136871c,Dragon,2026,100.0%,0,85.0%,unknown_variation,no
81abff45-e199-4bbe-927c-15dd9f42b37e,Parasakthi,2026,42fb455f-0652-4b60-9f35-5cbc0fdc2f74,Guard: Revenge for Love,2025,100.0%,1,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,100.0%,0,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,06f3f75f-deac-4135-8aaa-69079d66d428,Toxic: A Fairy Tale for Grown-Ups,2026,100.0%,0,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,19b0b6c1-8d9a-4b52-bd5b-1311969b76d0,Peddi,2026,100.0%,0,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,3500c2bf-3823-4b04-8aa3-0b9483d8d272,The Raja Saab,2026,100.0%,0,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,16903466-e6f6-46ff-9d24-f7a2f136871c,Dragon,2026,100.0%,0,85.0%,transliteration_variant,no
1250a707-9ca0-4b53-91e8-dc7dba4644f3,Fauji,2026,42fb455f-0652-4b60-9f35-5cbc0fdc2f74,Guard: Revenge for Love,2025,100.0%,1,85.0%,transliteration_variant,no
5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,06f3f75f-deac-4135-8aaa-69079d66d428,Toxic: A Fairy Tale for Grown-Ups,2026,100.0%,0,85.0%,transliteration_variant,no
5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,19b0b6c1-8d9a-4b52-bd5b-1311969b76d0,Peddi,2026,100.0%,0,85.0%,transliteration_variant,no
5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,3500c2bf-3823-4b04-8aa3-0b9483d8d272,The Raja Saab,2026,100.0%,0,85.0%,transliteration_variant,no
5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,16903466-e6f6-46ff-9d24-f7a2f136871c,Dragon,2026,100.0%,0,85.0%,transliteration_variant,no
5840de84-5312-4692-b58d-0968f722b4ef,Dacoit,2026,42fb455f-0652-4b60-9f35-5cbc0fdc2f74,Guard: Revenge for Love,2025,100.0%,1,85.0%,transliteration_variant,no
