Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2016	Rojulu Marayi	M Maruthi	Tejus	Krishnudu			Romance
2013	Jai Sriram	Balaji Napiya	Uday Kiran	Reshmi Menon			Mythological
2013	Sevakudu	Gopichand Malineni	Krishna	No Female Lead			Drama
2013	Pavitra	Janardhana Maharshi	Shriya Saran	No Female Lead			Drama
2013	Romance	Swaroop	Prince	Disha Pandey			Romance
2013	Pelli Pustakam	Ramakrishna Machakanti	Rahul	Niti Taylor			Romance
2013	Mallela Theeram Lo Sirimalle Puvvu	Rama Raju	Sandeep	Sri Divya			Drama
2013	Antaku Mundu Aa Taruvaata	Mohan Krishna Indraganti	Sumanth Ashwin	Eesha			Romance
2013	Moksha	Srikanth Vemula	Sreekanth	Rajeev Saluri			Drama
2013	Satruvu	NSR Prasad	Srikanth	Aksha Pardasany			Action
2013	Toofan	Apurva Lakhia	Ram Charan	Priyanka Chopra			Action
2013	Jabardasth	B. V. Nandini Reddy	Siddharth	Samantha			Drama
2013	Ongole Gittha	Bhaskar	Ram	Kriti Kharbanda			Drama
2013	Dharmavarapu Subramanyam	Jonnalagadda Srinivasa Rao	Nikhil Siddharth	Swati Reddy			Drama
2012	Friends Book	R.P. Patnaik	Nischal	Archana Sharma			Drama
2012	Nuvvekkadunte Nenakkadunta	Subha Selvam	Shweta Prasad in the lead roles directed by Subha Selvam	Shweta Prasad in the lead roles directed by Subha Selvam			Drama
2012	Siva Manasulo Sruthi	Sudheer Babu, Regina Cassandra	Produced by Vega Entertainment	Nandita Raj			Romance
2012	Akash	Raj Kandukuri	Akash	Jyothi			Drama
2012	Midhunam	Tanikella Bharani	Srinagar Srinivas	Bhavana			Romance
2012	Rushi	Raj Madiraju	Ranji	Nikki Galrani			Drama
2012	Disco	Harish Shankar	Nikhil Siddharth	Saranya Mohan			Romance
2012	Tuneega Tuneega	M.S. Raju	Sumanth Ashwin	Rhea Chakraborty			Romance
2012	Chaduvukovali	Venu	Arun	Kalyani			Drama
2012	Nandeeswarudu	Ram Shetty	N.T. Rama Rao Jr.	Sheena Shahabadi			Action
2012	Mem Vayasuku Vacham	Trinadha Rao Nakkina	Tanish	Neeti Taylor			Romance
2011	Nitya Pellikoduku	Devi Prasad	Varun Sandesh	Shriya Saran			Romance
2011	Galli Kurrolu	Lokesh	Sri	Kriti Kharbanda			Drama
2011	Aakasame Haddu	Ravi Charan	Navdeep	Panchi Bora			Drama
2011	Yellow Flowers	Mallikharjun	Chaitanya	Sruthi			Romance
2011	Thimmaraju	Vijay Krishna	Sai Kumar	Bhanu Sri Mehra			Drama
2011	Mugguru	V.N. Aditya	Navdeep	Shraddha Das			Drama
2011	Sanchalanam	Kranthi Kumar	Sai Kiran	Roja			Drama
2011	Lokame Kothaga	Bharath	Navdeep	Aditi Sharma			Drama
2011	Poru Telangana	R. Narayana Murthy	R. Narayana Murthy	No Female Lead			Drama
2011	Dushasana	Posani Krishna Murali	Srikanth	Sanjana			Drama
2011	Chattam	P. Vasu	Jagapathi Babu	Vimala Raman			Action
2011	Rakshana	Ramesh Puppala	Jagapathi Babu	Shraddha Das			Action
2011	Priyudu	Shankar	Varun Sandesh	Preetika Rao			Romance
2011	Cricket Girls & Beer	Adarsh Balakrishna, Surya Tej, Naga Shourya, Sindhu Affan	Vishnu	Soumya			Drama
2011	Mangala	Osho Tulasi Ram	Pradeep Rawat	Charmme Kaur			Drama
2011	Keratam	Gautham Vasudev Menon	Siddharth	Aaanchal Munjal			Romance
2011	Vankaya Fry	Chandu	Sree	Sonia			Drama
2011	Kodipunju	B. V. V. Choudary	Tanish	Sukriti			Drama
2011	Manchivadu	Lakshmi Narayana	Tanish	Bhavana			Drama
2011	Koffi Bar	Geetha Krishna	Shashank	Bianca Desai			Drama
2011	Daggaraga Dooranga	Ravi C Kumar	Sumanth	Vedhika			Drama
2011	Babloo	G. Nageswara Reddy	Manoj Manchu	Shanvi			Comedy
2010	Dasanna	K. Vasu	Srikanth	Sanjana			Drama
2010	Aalasyam Amrutam	Chandra Mahesh	Ananth	Tanish			Drama
2010	Sivaji	S Shankar	Mahesh Babu	Anushka Shetty			Action
2010	Mouna Ragam	Vijay Balaji	Tanish	Madhurima			Romance
2010	Gudu Gudu Gunjam	Veeru Potla	Rajendra Prasad	No Female Lead			Romance
2010	Bhairava Ips	Rao Bharath	Sivaji	Aarta Gupta			Action
2010	Collector Gari Bharya	Collector Gari Bharya	Prakash Raj	Meera Jasmine			Drama
2010	Srimathi Kalyanam	Ravikumar Chakravarthy	Vishnu	Saranya Mohan			Family
2010	Sye Aata	Krishna	Srikanth	Melanie Walker			Romance
2010	Chalaki	M. Mahadev	Sai Ram Shankar	Roma			Drama
2010	Madhanudu	Vijay Bhapineedu	Sunil	Saloni			Drama
2010	Comedy Express	Ravi Varma	Vennela Kishore	Vibha			Comedy
2010	Maro Charitra	Ravi Yadav	Varun Sandesh	Anita Galler			Romance
