Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1957	Bhagya Rekha	B. S. Ranga	N.T. Rama Rao	Jamuna			Drama
1957	Bhale Ammayilu	Sivaramakrishna	Akkineni Nageswara Rao	Anjali Devi			Drama
1957	Bhale Baava	Boddu Irusu	Akkineni Nageswara Rao	Anjali Devi			Drama
1957	Dhampathyam	Vedantam Raghavayya	Akkineni Nageswara Rao	Savitri			Drama
1957	Kutumba Gowravam	B. Vittalacharya	N.T. Rama Rao	Jamuna			Drama
1957	Nala Damayanthi	Vedantam Raghavayya	N.T. Rama Rao	Pushpavalli			Mythological
1957	Parasakthi	Krishnan Panju	Sivaji Ganesan	Pandari Bai			Drama
1957	Peddarikalu	K Vasu	N.T. Rama Rao	Jamuna			Drama
1957	Repu Needhe	K. B. Srinivasan	Akkineni Nageswara Rao	Savitri			Drama
1957	Sankalpam	V Nagayya	N.T. Rama Rao	Savitri			Drama
1957	Sarangadhara	V. Nagayya	N.T. Rama Rao	Devika			Mythological
1957	Sati Anasuya	V. Nagayya	Akkineni Nageswara Rao	Anjali Devi			Mythological
1957	Sati Savitri	Kothay Narayanan	Haranath	Sowcar Janaki			Mythological
1957	Swayamprabha	G. R. Rao	N.T. Rama Rao	Savitri			Drama
1957	Thodi Kodallu	Adurthi Subba Rao	N.T. Rama Rao	Savitri			Drama
1957	Vadhante Dabbu	Fateh Hal Rai	N.T. Rama Rao	Janaki			Drama
1957	Varudu Kavali	NTR	N.T. Rama Rao	Jamuna			Drama
1957	Veera Kankanam	G. R. Rao	N.T. Rama Rao	Krishna Kumari			Drama
1957	Vinayaka Chaviti	Samudrala Sr	N.T. Rama Rao	Savitri			Mythological
1956	Amara Deepam	Vedantam Raghavayya	Akkineni Nageswara Rao	Savitri			Drama
1956	Ashtaaishwaryalu	S. Balachander	Akkineni Nageswara Rao	Savitri			Drama
1956	Balasanyasamma Katha	P Subbarao	Jaggayya	No Female Lead			Drama
1956	Bhakta Markandeya	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
