slug	name_en	occupation	twitter	instagram	facebook	official_website	status	notes
# SOCIAL LINKS BATCH 1: TOP 50 ACTIVE CELEBRITIES
# 
# INSTRUCTIONS:
# 1. Search "[Celebrity Name] Twitter" or "[Celebrity Name] Instagram"
# 2. Verify blue check marks (verified accounts only)
# 3. Copy full URL (e.g., https://twitter.com/username)
# 4. Check for official website if exists
# 5. Mark status as DONE when complete
# 
# TIPS:
# - Only verified/official accounts
# - Avoid fan accounts
# - If not found, leave empty (not N/A)
# - Takes 3-5 minutes per profile
# 

srikanth	Srikanth	actor					PENDING	
celeb-vikram	Vikram	actor					PENDING	
celeb-ajay	Ajay	actor					PENDING	
celeb-daggubati-venkatesh	Daggubati Venkatesh	actor					PENDING	
chiranjeevi	Chiranjeevi	actor					PENDING	
celeb-satyanarayana	Satyanarayana	actor					PENDING	
celeb-ramya-krishna	Ramya Krishna	actress					PENDING	
celeb-murali-mohan	Murali Mohan	director					PENDING	
krishnam-raju	Krishnam Raju	actor					PENDING	
sridevi	Sridevi	actor					PENDING	
celeb-kodandarami-reddy	Kodandarami Reddy	director					PENDING	
celeb-siva	Siva	director					PENDING	
celeb-karthik	Karthik	actor					PENDING	
celeb-lakshmi	Lakshmi	actor					PENDING	
anjali-devi	Anjali Devi	actor					PENDING	
krishna-kumari	Krishna Kumari	actor					PENDING	
celeb-dasari-narayana-rao	Dasari Narayana Rao	director					PENDING	
celeb-siddharth	Siddharth	actor					PENDING	
celeb-soundarya	Soundarya	actress					PENDING	
celeb-arjun	Arjun	actor					PENDING	
celeb-kamal-haasan	Kamal Haasan	actor					PENDING	
celeb-suman	Suman	actor					PENDING	
celeb-vishnu	Vishnu	actor					PENDING	
celeb-vanisri	Vanisri	actress					PENDING	
celeb-k-raghavendra-rao	K. Raghavendra Rao	director					PENDING	
celeb-roja	Roja	actor					PENDING	
jaya-prada	Jaya Prada	actor					PENDING	
jayasudha	Jayasudha	actor					PENDING	
celeb-ravi-teja	Ravi Teja	actor					PENDING	
celeb-n-t-rama-rao	N.T. Rama Rao	actor					PENDING	
celeb-k-vasu	K. Vasu	director					PENDING	
allari-naresh	Allari Naresh	actor					PENDING	
kanta-rao	Kanta Rao	actor					PENDING	
celeb-ramakrishna	Ramakrishna	actor					PENDING	
celeb-teja	Teja	director					PENDING	
celeb-tamannaah-bhatia	Tamannaah Bhatia	actress					PENDING	
celeb-kodi-ramakrishna	Kodi Ramakrishna	director					PENDING	
celeb-ram	Ram	actor					PENDING	
celeb-sukumar	Sukumar	actor					PENDING	
celeb-meena	Meena	actor					PENDING	
vijaya-nirmala	Vijaya Nirmala	actor					PENDING	
celeb-bhaskar	Bhaskar	director					PENDING	
celeb-krishna	Krishna	actor					PENDING	
celeb-k	K	director					PENDING	
celeb-sarath	Sarath	director					PENDING	
sobhan-babu	Sobhan Babu	actor					PENDING	
celeb-suresh	Suresh	actor					PENDING	
celeb-savitri	Savitri	actress					PENDING	
celeb-nandamuri-balakrishna	Nandamuri Balakrishna	actor					PENDING	
akkineni-nagarjuna	Akkineni Nagarjuna	actor					PENDING	

# PROGRESS TRACKER
# Total: 50
# Completed: 0
# Remaining: 50
# Estimated Time: 4-5 hours (5 mins per profile)
