Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1971	Adrusta Jathakudu	K. Vasu	Akkineni Nageswara Rao	Vanisri			Drama
1971	Amaayakuraalu	Shakti Samanta	Akkineni Nageswara Rao	Kanchana			Drama
1971	Anuradha	V. Madhusudhan Rao	Krishna	Vanisri			Drama
1971	Athalu Kodallu	P. Chandrasekhara Reddy	Krishna	Vanisri			Drama
1971	Bangaru Kutumbam	V. Ramachandra Rao	Krishna	Vanisri			Drama
1971	Bangaru Talli	D. Yoganand	Sobhan Babu	Vanisri			Drama
1971	Bhagyavantudu	D. Yoganand	Akkineni Nageswara Rao	Vanisri			Drama
1971	Bhale Papa	Dasari Narayana Rao	Akkineni Nageswara Rao	Vanisri			Drama
1971	Bomma Borusa	K Balachander	Chandra Mohan	Savitri			Drama
1971	Chinnanati Snehitulu	K Vasu	N.T. Rama Rao	Vanisri			Drama
1971	Gudachari 003	A. R. K. Prasad	Krishna	Vanisri			Drama
1971	Jeevitha Chakram	CV Rajendran	N.T. Rama Rao	Vanisri			Drama
1971	Manasu Mangalyam	K. Pratyagatma	Akkineni Nageswara Rao	Vanisri			Drama
1971	Master Kiladi	M. Mallikarjuna Rao	Krishna	Vijaya Nirmala			Drama
1971	Nammaka Drohulu	K.S.R. Das	Krishna	Vijaya Nirmala			Drama
1971	Nindu Dampathulu	Dasari Narayana Rao	N.T. Rama Rao	Jamuna			Drama
1971	Pagabattina Paduchu	C.P. Rao	Ramakrishna	Vijaya Nirmala			Drama
1971	Pattukunte Laksha	B.O. Subba Rao	Krishna	Vijaya Nirmala			Drama
1971	Pavitra Hrudayalu	A. C. Tirulokchandar	N.T. Rama Rao	Jamuna			Drama
1971	Pethamdaarlu	T. Rama Rao	Chandra Mohan	Kanchana			Drama
1971	Prema Jeevulu	K.S.R. Das	Krishna	Vijaya Nirmala			Drama
1971	Prema Nagar	K Vasu	Akkineni Nageswara Rao	Vanisri			Drama
1971	Raitu Bidda	B.A. Subba Rao	Akkineni Nageswara Rao	Vanisri			Drama
1971	Raitu Kutumbam	Dasari Narayana Rao	Akkineni Nageswara Rao	Vanisri			Drama
1971	Rajakota Rahasyam	B. Vittalacharya	N.T. Rama Rao	Krishna Kumari			Drama
1971	Ramalayam	K Vasu	Akkineni Nageswara Rao	Vanisri			Drama
1971	Rangeli Raja	P. Vasu	Chandra Mohan	Kanchana			Drama
1971	Sampoorna Ramayanam	Bapu	N.T. Rama Rao	Lakshmi			Mythological
1971	Sati Ansuya	Kadri Venkata Reddy	Akkineni Nageswara Rao	Anjali Devi			Drama
1971	Sisindri Chittibabu	KVAS	N.T. Rama Rao	Vanisri			Drama
1971	Sri Krishna Satya	K.V. Reddy	N.T. Rama Rao	Jayalalithaa			Mythological
1971	Suputhrudu	K. Vasu	Krishna	Vanisri			Drama
1971	Varalakshmi Vratam	Bapu	Akkineni Nageswara Rao	Vanisri			Drama
1971	Vichithra Kutumbam	Adeyachenna	N.T. Rama Rao	No Female Lead			Drama
1971	Vikramarka Vijayam	Kamalakara Kameswara Rao	N.T. Rama Rao	Vanisri			Drama
1970	Agni Pariksha	K. Varaprasada Rao	Krishna	Vijaya Nirmala			Drama
1970	Akhandudu	V. Ramachandra Rao	Krishna	Vanisri			Drama
1970	Allude Menalludu	P. Pullaiah	Krishna	Jyothi Lakshmi			Drama
1970	Amma Kosam	K. Vasu	Krishna	Vanisri			Drama
1970	Andarki Monagadu	M. Mallikarjuna Rao	Krishna	Vijaya Nirmala			Drama
1970	Balaraju Katha	Bapu	N.T. Rama Rao	Vanisri			Drama
1970	Chitti Chellelu	K. Vasu	Akkineni Nageswara Rao	Vanisri			Drama
1970	Dharma Daata	A Sanjeevi	N.T. Rama Rao	Jayalalitha			Drama
1970	Drohi	Krasna	Krishna	Kanchana			Drama
1970	Jai Jawan	D. Yoganand	Krishna	Kanchana			Drama
1970	Lakshmi Kataksham	Veerabhadra Rao	N.T. Rama Rao	Devika			Drama
1970	Maa Nanna Nirdhoshi	K. V. Nandana Rao	Krishna	Vijaya Nirmala			Drama
1970	Maayani Mamata	Kamalakara K. Rao	N.T. Rama Rao	Jayalalithaa			Drama
1970	Malli Pelli	Adurthi Subba Rao	Krishna	Kanchana			Drama
1970	Marina Manishi	Bollichina Bhaskar Rao	Chandra Mohan	Kanchana			Drama
1970	Merupu Veerudu	G. Ramanathan	N.T. Rama Rao	Krishna Kumari			Drama
1970	Oke Kutumbham	Adurthi Subba Rao	Akkineni Nageswara Rao	Vanisri			Drama
1970	Pachhani Samsaram	P. Lakshmi Deepak	Krishna	Vijaya Nirmala			Drama
1970	Paga Sadista	K. S. R. Das	Krishna	Jamuna			Drama
1970	Pelli Koothuru	V. Ramachandra Rao	Krishna	Vijaya Nirmala			Drama
1970	Pelli Sambandham	Bapu	Krishna	Bhanumathi Ramakrishna			Drama
1970	Pettandarulu	C. S. Rao	N.T. Rama Rao	Vanisri			Drama
1970	Rendu Kutumbala Katha	Vipparthi Pradananda Rao	Krishna	Vijaya Nirmala			Drama
1970	Sambarala Rambabu	Bapu	Akkineni Nageswara Rao	Jamuna			Drama
1970	Thaali Bottu	T. Madhava Rao	Krishna	Vijaya Nirmala			Drama
