Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2010	Prema Rajyam	Moolapati	Ramkiran	Meerakrishna			Romance
2010	Raghavendra	Suresh Krishna	Prabhas	Anshu			Action
2010	Anaganaga Oka Aranyam	V.K. Prakash	Sai Kumar	Sri Ramya			Drama
2010	Komaram Bheem	Allani Sridhar	Bhoopal Reddy	No Female Lead			Action
2010	Kaluva	Balaji Sakthivel	Sumanth	Kajal Aggarwal			Romance
2010	Sandadi	Jagadish	Raja	Ghazal Thakur			Drama
2010	Inkosaari	Suman Pathuri	Raja	Richa Panai			Drama
2010	Aunty Uncle Nandagopal	Satyam	Srikanth	Meera Jasmine			Drama
2009	Punnami Naagu	A Kodandarami Reddy	Meka Srikanth	Rao Ramesh's daughter, but I am not confident about her name, so: Unknown			Horror
2008	Bhadradri	Mallikarjun	Srihari	Gajala			Action
2008	Highway	Kovvi Kalya Krishna	Aditya Om	Vedika			Action
2008	Veedu Mamoolodu Kadu	Ravi Sarma	Rishi	Gopika			Action
2008	Ekaloveyudu	K. Ramakrishna	Uday Kiran	Kruti			Romance
2007	Bhookailas	Srinivasa Reddy	Venu	Bhuvaneswari			Comedy
2007	Yamagola	Srinivasa Reddy	Sivaji	Mamata Mohandas			Fantasy
2007	Hello Premistara	Sharwanand	Santosh	Sheela			Romance
2007	Chandrahas	Roja	Srihari	Priyamani			Action
2007	Athidi	Surender Reddy	Mahesh Babu	Amrita Rao			Action
2007	Maharathi	P. Vasu	Srikanth	Vijayashanthi			Action
2006	Sardar Papanna	Pratani Ramakrishna Goud	Krishna	No Female Lead			Drama
2006	Hope	K. Satyanarayana	D. Ramanaidu	Kalyani			Drama
2006	Naayudamma	E.V.V. Satyanarayana	Srikanth	Jyothika			Drama
2006	Thrill	K. Veeru	Venkat	Ruthika			Action
2006	Neeku Naaku	Krishna Vijay	Srikanth	Anushka Shetty			Drama
2006	Manodu	Priyadarshini Ram	Priyadarshini Ram	Radhika Apte			Drama
2006	Shyam Prasad	Ravi Vaarla	Srikanth	Ooha			Drama
2006	Premante Inte	Devakatta	Sumanth				Drama
2006	Nuvve	Veera Shankar	Tarun	Shriya Saran			Drama
2006	Veedhi	Vijaya Bhaskar	Arun	Sindhu Tolani			Drama
2006	Rajababu	Muppalaneni Siva	Rajendra Prasad	Sneha			Drama
2006	Samanyudu	Ravi C Kumar	Jagapathi Babu	Kamna Jethmalani			Drama
2006	Indian Beauty	K. Shanti Kumar	Collin McManus	Sai Kiran			Drama
2006	Abhaddam	Raviraja	Shanvi	Nayana			Drama
2006	Evandoi Srivaru	Sathyam	Srikanth	Vedhika			Drama
2006	Kokila	Vamsy	Siddharth	Kanika			Drama
2006	Raraju	Udayasankar	Gopichand	Meera Jasmine			Action
2006	Valliddari Vayasu Padahare	Bhanu Shankar	Tarun	Devaki			Drama
2006	Aadi Lakshmi	Y.V.S. Chowdary	Srikanth	Sridevi			Drama
2005	Evaru Nenu	Krishna	Krishna	No Female Lead			Drama
2005	Rendella Tharuvatha	K.V.S.S. Sivaprasad	Sriram	Gopika			Drama
2005	Moguds Pellams	Venky	Srikanth	Rakshita			Drama
2005	Evadi Gola Vaadidi	E V V Satyanarayana	Aryan Rajesh	Deepika Chikhalia			Drama
2005	Mr. Errababu	Sivaji, Roma, Nagendra Babu, Sunil, Satyanarayana, Venu Madhav	Sivaji	Genelia D'Souza			Drama
2005	Premikulu	B. Jaya	Yuvaraj	Shanoor Sana			Drama
2005	Nayakudu	Karthik	Sachin	Trisha			Drama
2005	Good Boy	Mohan Krishna	Rohit	Navneet Kaur			Drama
2005	Evadi Gola Vaadidhi	Srikanth Nahatha	Srikanth	Vega Tamotia			Drama
2005	Orey Pandu	Tejas Dhanraj	Sachiin Joshi	S			Drama
2005	Sravanamasam	Posani Krishna Murali	Krishna	Sneha			Drama
2005	Nireekshana	Vikraman	Tarun	Reema Sen			Drama
2005	Oka Oorilo	Rama Rao	Tarun	Renuka Menon			Drama
2005	Youth	Vinayak	Nithin	Sharma			Drama
2005	Okkade	Gunasekhar	Mahesh Babu	Bhoomika Chawla			Drama
2005	Chhatrapati	Srihari Nanu	Prabhas	Aarti Agarwal			Action
2005	Keelu Gurram	Rohit, Baladitya, Nakul, Rajesh, Tanu Roy	Rohit	Baladitya			Drama
2005	786 Khaidi Premakatha	K.S. Nageswara Rao	Sashikanth	Poonam Kaur			Action
2005	Avunanna Kaadanna	Teja	Uday Kiran	Sada			Drama
2005	Ayodhya	Y. V. S. Chowdary	Krishna	Nayantara			Drama
2005	Pellam Pichodu	Jonnavithhula	Rajendra Prasad	Richa Pallod			Drama
2005	Kumkuma	Jyoti Kumar	Sivaji	No Female Lead			Drama
