Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2025	Ilanti Cinema Meereppudu Chusundaru	Super Raja	Super Raja	Chandana Palanki			Drama
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini			Romance
2024	Leela Vinodham	Pavan Sunkara	Shanmukh Jaswanth	Anagha Ajith			Romance
2024	Bhavanam	Balachary Kurella	Ajay	No Female Lead			Drama
2024	Brahmmavaram P.S. Paridhilo	Imran Sastry	Guru Charan	Sravanthi Bellamkonda			Drama
2023	Subramanyam Chigurupati	Srikant G Reddy	Sushanth	Mehreen Pirzada			Drama
2023	Ala Ila Ela	Dwarki Raghav	Shakthi Vasudevan	Poorna			Drama
2021	Family Drama	Meher Tej	Suhas	Teja Kasarapu			Drama
2021	Asalem Jarigandi	Prem Raj	Shanmukh Jaswanth	Shruti Mehra			Romance
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya			Drama
2020	Utthara	Thirupathi Rao Indraganti	Sriram	Karishma			Drama
2019	Prematho Cheppana	Ravi Varma	Sudheer Babu	Niharika Konidela			Romance
2019	Ranasthalam	Sudheer Varma	Sharwanand	Mehreen Pirzada			Action
2019	Aa Nimisham	Kala Rajesh	Prasad Reddy	Rani Sree			Drama
2019	Danger Love Story	Shekar Chandra	Khayyum Gaurav	Adia			Romance
2019	Kishore Kumar	Kiran Abbavaram	Siddharth	Divyansha Kaushik			Romance
2019	Hulchul	Glory	Ramarao	Abhinaya			Drama
2019	Srinivasa Reddy	Anil Kumar	Sunil	Kashish Duggal			Comedy
2019	4 Letters	R Raghuraj	Eeshwar	Tuya Chakraborthy			Drama
2018	Masakkali	Nabi Enugubala	Sai Ronak	Shravya			Drama
2018	Juvva	Trikoti Peta	Ranjith Somi	Palak Lalwani in the lead roles			Drama
2018	2 Friends	Srinivas GLB	Suraj Gowda	Sonia Dey Sarkar			Drama
2018	Super Sketch	Ravi Chakravathy	Narsing Yadav	Remya Nambeesan			Thriller
2018	Moodu Puvulu Aaru Kayalu	Ramaswamy	Arjun Yagith	Bharath Bandaru			Drama
2018	Howrah Bridge	Revathi	Rahul Ravindran	Manali Rathod			Romance
2018	My Dear Marthandam	Harish K V	Prudhviraj	Rakendu Mouli			Romance
2017	Kiss Kiss Bang Bang	Karthik Medikonda	Kiran	Harshada Kulkarni			Romance
2017	Idhi Maa Prema Katha	Ayodhya Karthik	Anchor Ravi	Meghana Lokesh			Romance
2017	C/o Surya	Suseenthiran	Sundeep Kishan	Mehreen Pirzada			Drama
2017	Nee Preme Naa Pranam	Rajasekhar	Lucky	Sireesha			Romance
2017	Dr. Chakravarthy	Sekhar Suri	Richard Rishi	Sonia Agarwal			Drama
2016	Dandakaranyam	R. S. Durai Senthilkumar	Nandu	Elena			Action
2016	Premikudu	Karthik	Maadhav	Yamini Bhaskar			Romance
2016	Karam Dosa	Trivikram Gajulapalli	Shivakumar Ramachandravarapu	No Female Lead			Comedy
2016	Hora Hori	Teja	Dileep	Dhansika			Drama
2016	Banthi Poola Janaki	Nellutla Praveen Chander	Dhanraj	Diksha Panth			Drama
2016	Manalo Okkadu	R. P. Patnaik, Anita Hassanandani Reddy	Uni Craft Movies	Anita Hassan			Drama
2016	Rojulu Marayi	M Maruthi	Tejus	Krishnudu			Romance
2016	Mana Oori Ramayanam	Prakash Raj	Prakash Raj	Priyamani			Drama
2016	Seesa	Dileep	Srikanth	Namina			Drama
2016	Oka Manasu	Rama Raju	Naga Shourya	Niharika Konidela			Romance
2016	Guppedantha Prema	Vinod Lingala	Sai Ronak	Aishwarya Datta			Romance
2016	Meeku Meere Maaku Meme	Hussain Sha Kiran	Tarun Shetty	Avantika Mishra			Romance
2016	Malupu	Sathya Prabhas Pinisetty	Aadhi	Nikki Galrani			Romance
2015	Kaki: Sound of Warning	Manon M	Ashok	Meghashree			Thriller
2015	Dagudumootha Dandakor	R. K. Malineni	Rajendra Prasad	Sara Arjun			Drama
2015	Andhra Pori	Raj Mudhiraj	Puri	Ulka Gupta			Drama
2015	Hitudu	Vikram K Kumar	Naga Siddharth	Lavanya Tripathi			Romance
2015	Noothi Lo Kappalu	P. A. Arun Prasad	Rajendra Prasad	Mannara Chopra			Drama
2015	Mirchi Lanti Kurradu	Jayanag	Abijeet	Pragya Jaiswal			Romance
2015	O Manasa	Sahaja Rao	Ajay Manthena	Aparna Bajpai			Drama
2015	Ladies & Gentleman	P.B. Manjunath	Chaitanya Krishna	Aditi Myakal			Drama
2015	Red Alert	Chandra Mahesh	Kaushik	No Female Lead			Action
2015	Anandam Malli Modalaindi	Vamsy	Sumanth	Sanchita Padukone			Romance
2015	Superstar Kidnap	Sushanth Reddy	Aadarsh Balakrishna	Shanvi Srivastava			Thriller
2015	Thanu Nenu	Ram Mohan P	Santosh Shoban	Avika Gor			Romance
2015	Bham Bolenath	Karthik	Navdeep	Naveena			Drama
2015	Gaddam Gang	Santosh Peter Jayakumar	Achyuth Kumar	Ritika Singh			Action
2015	Size Zero	Prakash Kovelamudi	Arya	Anushka Shetty			Drama
2015	Moodu Mukkallo Cheppalante	Madhumita	Rakendu Mouli	Aditi Myakal			Drama
