Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2026	Man Of The Match	P. A. Arun Prasad	Sagar	Mrudula Murali			Drama
2026	Sahakutumbaanaam	Uday Sharma	Raam Kiran	Megha Akash			Drama
2026	Vanaveera	Avinash Thiruveedhula	Avinash Thiruveedhula	Simran Choudhary			Action
2026	Madham	Vamsee Krishna Malla	Harsha Gangavarapu	Inaya Sultana			Drama
2025	1000 Waala	Afzal Shaik	Amith Dream Star	Navitha Gangat			Action
2025	Ramam Raghavam	Dhanraj Koranani	Samuthirakani	Mokksha			Drama
2025	Ilanti Cinema Meereppudu Chusundaru	Super Raja	Super Raja	Chandana Palanki			Drama
2025	Boss	Ra Hee-chan	Jo Woo-jin	황우슬혜			Action
2024	Kotha Rangula Prapancham	Prudhvi Raj	Prudhvi Raj	Krithi Garg			Horror
2024	Srikakulam Sherlock Holmes	Writer Mohan	Vennela Kishore	Aditi Gautam			Comedy
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini			Romance
2024	Alanaati Ramchandrudu	Chilukuri Akash	Prawasthi	Mokksha			Drama
2024	Pranaya Godari	PL K Reddy	Sadan	Priyanka Prasad			Romance
2024	Leela Vinodham	Pavan Sunkara	Shanmukh Jaswanth	Anagha Ajith			Romance
2024	Bhavanam	Balachary Kurella	Ajay	No Female Lead			Drama
2024	Brahmmavaram P.S. Paridhilo	Imran Sastry	Guru Charan	Sravanthi Bellamkonda			Drama
2024	Prasannavadanam	Sukumar Bandreddi	Suhas	Ruhani Sharma			Thriller
2024	Bench Life	Manasa Sharma	Vaibhav	Ritika Singh			Comedy
2023	Subramanyam Chigurupati	Srikant G Reddy	Sushanth	Mehreen Pirzada			Drama
2023	Circle	Neelakanta	Sai Ronak	Arshin Mehta			Thriller
2023	Jilebi	K. Vijaya Bhaskar	Sree Kamal	Shivani Rajashekar			Comedy
2023	Barla Narayana	Murali Kishor Abburu	Dileep	Ananya Nagalla			Drama
2023	Ashtadigbandhanam	Baba PR	Surya Bharath Chandra	Vishika Kota			Drama
2023	Ala Ila Ela	Dwarki Raghav	Shakthi Vasudevan	Poorna			Drama
2023	Paruvu	Siddharth Naidu	Naveen Chandra	Nivetha Pethuraj			Crime
2022	Lakshman K Krishna	Vijay Krishna Acharya	Sithara Entertainments	Rashmika Mandanna			Action
2022	Bommala Koluvu	Subbu Vedula	Hrishikesh	Priyanka Sharma			Drama
2022	Abhimanyu	Sabbir Khan	Abhimanyu Dassani	Shirley Setia			Action
2021	Gudaputani	KM Kumar	Sapthagiri	Neha Solanki			Drama
2021	Most Eligible Bachelor	Bhaskar	Akhil Akkineni	Pooja Hegde			Romance
2021	Love Story	Sekhar Kammula	Naga Chaitanya Akkineni	Sai Pallavi			Romance
2021	Hemanth	Hemant Dhome	Siddharth Chandekar	Sonalee Kulkarni			Drama
2021	Pitta Kathalu	Nag Ashwin	Satyadev	Shruti Haasan			Drama
2021	Family Drama	Meher Tej	Suhas	Teja Kasarapu			Drama
2021	Check	Chandra Sekhar Yeleti	Nithiin	Rakul Preet Singh			Thriller
2021	Asalem Jarigandi	Prem Raj	Shanmukh Jaswanth	Shruti Mehra			Romance
2021	A: Ad Infitium	Ugandhar Muni	Nitin Prasanna	Preeti Asrani			Mystery
2021	Seetimaarr	Sampath Nandi	Gopichand	Tamannaah Bhatia			Action
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya			Drama
2020	Anaganaga O Athdhi	Dayal Padmanabhan	Payal Rajput	Samantha			Drama
2020	Utthara	Thirupathi Rao Indraganti	Sriram	Karishma			Drama
2019	Prematho Cheppana	Ravi Varma	Sudheer Babu	Niharika Konidela			Romance
2019	Ranasthalam	Sudheer Varma	Sharwanand	Mehreen Pirzada			Action
2019	Aa Nimisham	Kala Rajesh	Prasad Reddy	Rani Sree			Drama
2019	Sher	Dasari Narayana Rao	Jeetendra	Dimple Kapadia with the music composed by Laxmikant–Pyarelal			Action
2019	Danger Love Story	Shekar Chandra	Khayyum Gaurav	Adia			Romance
2019	Kishore Kumar	Kiran Abbavaram	Siddharth	Divyansha Kaushik			Romance
2019	Hulchul	Glory	Ramarao	Abhinaya			Drama
2019	Srinivasa Reddy	Anil Kumar	Sunil	Kashish Duggal			Comedy
2019	4 Letters	R Raghuraj	Eeshwar	Tuya Chakraborthy			Drama
2018	Masakkali	Nabi Enugubala	Sai Ronak	Shravya			Drama
2018	Juvva	Trikoti Peta	Ranjith Somi	Palak Lalwani in the lead roles			Drama
2018	2 Friends	Srinivas GLB	Suraj Gowda	Sonia Dey Sarkar			Drama
2018	Super Sketch	Ravi Chakravathy	Narsing Yadav	Remya Nambeesan			Thriller
2018	Kanam	A.L. Vijay	Naga Shourya	Sai Pallavi			Drama
2018	Moodu Puvulu Aaru Kayalu	Ramaswamy	Arjun Yagith	Bharath Bandaru			Drama
2018	Karthikeya	Chandoo Mondeti	Nikhil Siddharth	Anupama Parameswaran			Thriller
2018	Howrah Bridge	Revathi	Rahul Ravindran	Manali Rathod			Romance
2018	My Dear Marthandam	Harish K V	Prudhviraj	Rakendu Mouli			Romance
2017	Kiss Kiss Bang Bang	Karthik Medikonda	Kiran	Harshada Kulkarni			Romance
