Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1985	Vajrayudham	K. Raghavendra Rao	Krishna	No Female Lead			Action
1985	Maha Manishi	K. Bapayya	Krishna	Jaya Prada			Drama
1985	Agni Parvatam	K. Raghavendra Rao	Kongara Jaggayya	Vijayashanti			Action
1985	Muchataga Mugguru	Relangi Narasimha Rao	Rajendra Prasad	Kongara Jaggaiah's daughter, but I am not confident about her name, so: Unknown			Drama
1985	Dampatyam	A. Kodandarami Reddy	Naresh	No Female Lead			Drama
1985	Babai Abbai	Jandhyala	Nandamuri Balakrishna	Anitha Reddy			Drama
1985	Siksha	K. Balachander	Murali Mohan	Suhasini			Drama
1985	Maha Sangramam	A. Kodandarami Reddy	Krishna	Jaya Prada			Drama
1985	Yuvataram Pilicindi	Kodandarami Reddy	Sarath Babu	Vanisri			Drama
1985	Vandemataram	T. Krishna	Rajasekhar	Vijayashanti			Drama
1985	Aalapana	Vamsy	Murali Mohan	Sumalatha			Drama
1985	Srivari Shobanam	Kashinath	Akkineni Nageswara Rao	No Female Lead			Drama
1985	Bullet	Bhargava	Krishnam Raju	Sujatha			Action
1985	Andharikante Monagadu	T.L.V. Prasad	Krishna	Jayasudha			Drama
1985	Pattabhishekam	K. Vasu	Nandamuri Balakrishna	Vijayashanti			Drama
1985	Ragile Gundelu	Kodandarami Reddy	Krishna	Regina			Action
1985	Tirugubatu	A Kodandarami Reddy	Rajendra Prasad	Poornima			Drama
1985	Lanchavatharam	K. Vasu	Dasari Narayana Rao	Sumalatha			Drama
1985	Palnati Simham	Krishnam Raju	Krishna	Jaya Prada			Action
1985	Maa Pallelo Gopaludu	Kodi Ramakrishna	Arjun	Poornima			Drama
1985	Manthra Dandam	K. Murali Mohan	Unknown	Jayasudha			Action
1985	Aatmabalam	Tatineni Prasad	Kaikala Satyanarayana	No Female Lead			Drama
1985	Kotha Pelli Koothuru	K. S. Rami Reddy	Chandra Mohan	Vijayashanti			Drama
1985	Bangaru Chilaka	Kodandarami Reddy	Sobhan Babu	Sujatha			Drama
1985	Vande Mataram	Kodandarami Reddy	Krishnam Raju	Madhavi			Drama
1985	Mogudu Pellalu	Kodi Ramakrishna	Naresh	Shobana			Drama
1985	Maharaju	Vasantkumar Reddy	Rajinikanth	Jayasudha			Action
1985	Dongala Vetagadu	K. Raghavendra Rao	Unknown	Radha			Action
1985	Kattula Kondayya	K. Vasu	Rajendra Prasad	Sumalatha			Drama
1985	Bharyabhartala Bandham	K. Vasu	Nandamuri Balakrishna	Rajani			Drama
1985	Devalayam	K. Vasu	Sobhan Babu				Drama
1984	Seethamma Pelli	Bapu	Naresh	Poornima			Drama
1984	Kirai Alludu	K.S.R. Das	Krishna	Jayasudha			Drama
1984	Bava Maradallu	Bhargava	Karthik	No Female Lead			Drama
1984	Mukhyamanthri	K. Raghavendra Rao	Krishna	Radha			Drama
1984	Aadadhi Visirina Savaal	K. S. R. Das (Screenplay/Direction)	Vijayalalitha	Murali Mohan			Drama
1984	Justice Chakravarthy	K. Vasu	Nandamuri Balakrishna	Raadhika			Drama
1984	Kathanayakudu	K. Vasu	Kamal Haasan	Sridevi			Drama
1984	Bangaru Kapuram	K. Bapaiah	Krishna	Sridevi			Drama
1984	Palnati Puli	Dasari Narayana Rao	Krishnam Raju	Jayasudha			Action
1984	Nava Mohini	Kodandarami Reddy	Naresh	Madhavi			Drama
1984	Swati	Kranthi Kumar	Sarath Babu	Suhasini			Drama
1984	Janani Janmabhoomi	K. Raghavendra Rao	Nandamuri Balakrishna	Jayasudha			Drama
1984	Vasantha Geetam	Singh	Akkineni Nageswara Rao	Sujatha			Drama
1984	Adarshavanthudu	Kodandarami Reddy	Krishnam Raju	Vijayashanti			Drama
