Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1960	Abhimanam	C. S. Rao	Akkineni Nageswara Rao	Savitri			Drama
1960	Annapurna	V. Madhusudhana Rao	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1960	Bhakta Raghunath	C.S. Rao	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1960	Bhatti Vikramarka	Kamalakara Kameswara Rao	N.T. Rama Rao	Anjali Devi			Drama
1960	Chivaraku Migiledi	G. J. Ramu	N.T. Rama Rao	Jamuna			Drama
1960	Devanthakudu	Sedhu	N.T. Rama Rao	Krishna Kumari			Mythological
1960	Jagannatakam	Kodandapani	N.T. Rama Rao	Anjali Devi			Drama
1960	Kadeddulu Ekaram Nela	Chandrasekhara Rao Jampana	N.T. Rama Rao	Sowcar Janaki			Drama
1960	Kanna Koothuru	K Kasinathuni Viswanath	N.T. Rama Rao	Krishna Kumari			Drama
1960	Kula Daivam	C Pullaiah	N.T. Rama Rao	Savitri			Drama
1960	Kumkuma Rekha	B. S. Ranga	N.T. Rama Rao	Krishna Kumari			Drama
1960	Maa Babu	Jamuwa	N.T. Rama Rao	Savitri			Drama
1960	Magavari Mayalu	Babu Rao	N.T. Rama Rao	Jamuna			Drama
1960	Mahakavi Kalidasu	K. Kameswara Rao	Akkineni Nageswara Rao	Savitri			Drama
1960	Mamaku Tagga Alludu	Vedantam Raghavayya	Savitri	S. V. Ranga Rao			Drama
1960	Nammina Bantu	Adurthi Subba Rao	N.T. Rama Rao	Krishna Kumari			Drama
1960	Nithya Kalyanam Paccha Thoranam	Pinisetti Srirama Murthy	Ramakrishna	Chalam			Drama
1960	Pelli Kanuka	Adurthi Subba Rao	Akkineni Nageswara Rao	Krishnakumari			Drama
1960	Pillalu Techina Challani Rajyam	B R Panthulu	B R Panthulu	M V Rajamma			Drama
1960	Raja Makutam	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
1960	Ramasundari	Vedantam Raghavayya	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1960	Rani Ratnaprabha	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
1960	Renukadevi Mahatyam	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Mythological
1960	Runanubandham	 Vedantam Raghavayya	N.T. Rama Rao	Devika			Drama
1960	Sahasra Siracheda Apoorva Chinthamani	S. D. Lal	Kanta Rao	Gummadi			Drama
1960	Samajam	B. S. Ranga	N.T. Rama Rao	Devika			Drama
1960	Shanthi Nivasam	Veggesna Satyanarayana	Akkineni Nageswara Rao	Savitri			Drama
1960	Sri Krishna Rayabaram	Jagannadh	Raghuramaiah	Kanta Rao			Drama
1960	Vimala	Shivaji Ganeshan is not the director, but the hero of the Tamil version, the director of the Telugu version is Unknown	N.T. Rama Rao	Devika			Drama
1959	Aalu Magalu	V. Madhusudhana Rao	Akkineni Nageswara Rao	Jamuna			Drama
1959	Banda Ramudu	P. Pullaiah	N.T. Rama Rao	Jamuna			Mythological
1959	Bhagya Devathai	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
1959	Bhaktha Ambareesha	V. Nagayya	Akkineni Nageswara Rao	Anjali Devi			Mythological
1959	Illarikam	T. Prakash Rao	N.T. Rama Rao	Jamuna			Drama
1959	Jaya Vijaya	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
1959	Jayabheri	Nagendra Rao	N.T. Rama Rao	B Saroja Devi			Drama
1959	Karmika Vijayam	T. Prakash Rao	N.T. Rama Rao	Devika			Drama
1959	Koothuru Kaapuram	T Kasilingam	N.T. Rama Rao	Savitri			Drama
1959	Krishna Leelalu	Chandrasekhara Rao	Akkineni Nageswara Rao	Jamuna			Mythological
1959	Manorama	B. S. Ranga	N.T. Rama Rao	Devika			Drama
1959	Pelli Meeda Pelli	B. Vittalacharya	J. V. Ramana Murthi	Krishna Kumari			Drama
1959	Pellinaati Pramanalu	Adurthi Subba Rao	Akkineni Nageswara Rao	Jamuna			Drama
1959	Raja Malaya Simha	B. S. Ranga	Ranjan	Rajasulochana			Drama
1959	Rechukka Pagatichukka	P. Vasu	N.T. Rama Rao	Jamuna			Drama
1959	Sabhash Ramudu	C. S. Rao	N.T. Rama Rao	Devika			Drama
1959	Sati Sukanya	Chittor V. Nagaiah	Akkineni Nageswara Rao	Savitri			Drama
1959	Sipayi Koothuru	B. S. Ranga	N.T. Rama Rao	Krishna Kumari			Drama
1959	Vachina Kodalu Nachindi	D. Yoganand	N.T. Rama Rao	Jamuna			Drama
1959	Veera Bhaskarudu	Taraka Rama Rao Nandamuri	N.T. Rama Rao	B. Saroja Devi			Drama
1958	Aada Pettanam	Adurthi Subba Rao	Akkineni Nageswara Rao	Anjali Devi			Drama
1958	Anna Thammudu	Vedantam Raghavayya	N.T. Rama Rao	Janaki			Drama
1958	Atha Okinti Kodale	K. B. Tilak	Jaggayya	Girija			Drama
1958	Bhuloka Ramba	Gudavalli Ramabrahmam	N.T. Rama Rao	Jamuna			Drama
1958	Chenchu Lakshmi	Sivaji Ganesan	N.T. Rama Rao	Anjali Devi			Mythological
1958	Etthuku Pai Etthu	Tapi Chanakya	Gummadi	Balayya			Drama
1958	Ganga Gouri Samvadam	V N Reddy	Kanta Rao	C H Narayana Rao			Drama
1958	Inti Guttu	Vasanthkumar Reddy	N.T. Rama Rao	Savitri			Drama
1958	Manchi Manasuku Manchi Rojulu	C S Rao	N.T. Rama Rao	Rajasulochana			Drama
1958	Mundhadugu	Kroththapalli Kesava Rao	N.T. Rama Rao	Savitri			Drama
1958	Parvathi Kalyanam	Veggesna Satyanarayana	N.T. Rama Rao	Jamuna			Drama
1958	Raja Nandini	B. S. Ranga	N.T. Rama Rao	Anjali Devi			Drama
1958	Sobha	Kamalakara Kameswara Rao	N.T. Rama Rao	Anjali Devi			Drama
1958	Sree Ramanjaneya Yuddham	Aacharya	Kanta Rao	S. Varalakshmi			Drama
1958	Sri Krishna Garadi	Y. V. Rao	Jaggayya	Krishna Kumari			Mythological
1958	Sri Krishna Maya	C. S. Rao	A. Nageswara Rao	Jamuna			Drama
