Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2025	Ilanti Cinema Meereppudu Chusundaru	Super Raja	Super Raja	Chandana Palanki			Drama
2025	Boss	Ra Hee-chan	Jo Woo-jin	황우슬혜			Action
2024	Kotha Rangula Prapancham	Prudhvi Raj	Prudhvi Raj	Krithi Garg			Horror
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini			Romance
2024	Pranaya Godari	PL K Reddy	Sadan	Priyanka Prasad			Romance
2024	Leela Vinodham	Pavan Sunkara	Shanmukh Jaswanth	Anagha Ajith			Romance
2024	Bhavanam	Balachary Kurella	Ajay	No Female Lead			Drama
2024	Brahmmavaram P.S. Paridhilo	Imran Sastry	Guru Charan	Sravanthi Bellamkonda			Drama
2023	Subramanyam Chigurupati	Srikant G Reddy	Sushanth	Mehreen Pirzada			Drama
2023	Barla Narayana	Murali Kishor Abburu	Dileep	Ananya Nagalla			Drama
2023	Ashtadigbandhanam	Baba PR	Surya Bharath Chandra	Vishika Kota			Drama
2023	Ala Ila Ela	Dwarki Raghav	Shakthi Vasudevan	Poorna			Drama
2022	Bommala Koluvu	Subbu Vedula	Hrishikesh	Priyanka Sharma			Drama
2021	Gudaputani	KM Kumar	Sapthagiri	Neha Solanki			Drama
2021	Hemanth	Hemant Dhome	Siddharth Chandekar	Sonalee Kulkarni			Drama
2021	Family Drama	Meher Tej	Suhas	Teja Kasarapu			Drama
2021	Asalem Jarigandi	Prem Raj	Shanmukh Jaswanth	Shruti Mehra			Romance
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya			Drama
2020	Utthara	Thirupathi Rao Indraganti	Sriram	Karishma			Drama
2019	Prematho Cheppana	Ravi Varma	Sudheer Babu	Niharika Konidela			Romance
2019	Ranasthalam	Sudheer Varma	Sharwanand	Mehreen Pirzada			Action
2019	Aa Nimisham	Kala Rajesh	Prasad Reddy	Rani Sree			Drama
2019	Sher	Dasari Narayana Rao	Jeetendra	Dimple Kapadia with the music composed by Laxmikant–Pyarelal			Action
2019	Danger Love Story	Shekar Chandra	Khayyum Gaurav	Adia			Romance
2019	Kishore Kumar	Kiran Abbavaram	Siddharth	Divyansha Kaushik			Romance
2019	Hulchul	Glory	Ramarao	Abhinaya			Drama
2019	Srinivasa Reddy	Anil Kumar	Sunil	Kashish Duggal			Comedy
2019	4 Letters	R Raghuraj	Eeshwar	Tuya Chakraborthy			Drama
2018	Masakkali	Nabi Enugubala	Sai Ronak	Shravya			Drama
2018	Juvva	Trikoti Peta	Ranjith Somi	Palak Lalwani in the lead roles			Drama
2018	2 Friends	Srinivas GLB	Suraj Gowda	Sonia Dey Sarkar			Drama
2018	Super Sketch	Ravi Chakravathy	Narsing Yadav	Remya Nambeesan			Thriller
2018	Moodu Puvulu Aaru Kayalu	Ramaswamy	Arjun Yagith	Bharath Bandaru			Drama
2018	Karthikeya	Chandoo Mondeti	Nikhil Siddharth	Anupama Parameswaran			Thriller
2018	Howrah Bridge	Revathi	Rahul Ravindran	Manali Rathod			Romance
2018	My Dear Marthandam	Harish K V	Prudhviraj	Rakendu Mouli			Romance
2017	Kiss Kiss Bang Bang	Karthik Medikonda	Kiran	Harshada Kulkarni			Romance
2017	Idhi Maa Prema Katha	Ayodhya Karthik	Anchor Ravi	Meghana Lokesh			Romance
2017	C/o Surya	Suseenthiran	Sundeep Kishan	Mehreen Pirzada			Drama
2017	Nee Preme Naa Pranam	Rajasekhar	Lucky	Sireesha			Romance
2017	Dr. Chakravarthy	Sekhar Suri	Richard Rishi	Sonia Agarwal			Drama
2017	Saranam Gacchami	Anil Ravipudi	Varun Tej	Mehreen Pirzada			Romance
2017	Spyder	A. R. Murugadoss	Mahesh Babu	Bharath			Action
2016	Dandakaranyam	R. S. Durai Senthilkumar	Nandu	Elena			Action
2016	Premikudu	Karthik	Maadhav	Yamini Bhaskar			Romance
2016	Karam Dosa	Trivikram Gajulapalli	Shivakumar Ramachandravarapu	No Female Lead			Comedy
2016	Hora Hori	Teja	Dileep	Dhansika			Drama
2016	Banthi Poola Janaki	Nellutla Praveen Chander	Dhanraj	Diksha Panth			Drama
2016	Sri Sri	Sudheer Varma	Sudheer Varma	Regina Cassandra			Romance
2016	Abhinetri	A. L. Vijay	Prabhu Deva	Tamannaah Bhatia			Drama
2016	Manalo Okkadu	R. P. Patnaik, Anita Hassanandani Reddy	Uni Craft Movies	Anita Hassan			Drama
2016	Rojulu Marayi	M Maruthi	Tejus	Krishnudu			Romance
2016	Mana Oori Ramayanam	Prakash Raj	Prakash Raj	Priyamani			Drama
2016	Seesa	Dileep	Srikanth	Namina			Drama
2016	Oka Manasu	Rama Raju	Naga Shourya	Niharika Konidela			Romance
2016	Guppedantha Prema	Vinod Lingala	Sai Ronak	Aishwarya Datta			Romance
2016	Meeku Meere Maaku Meme	Hussain Sha Kiran	Tarun Shetty	Avantika Mishra			Romance
2016	Tulasi Dalam	Hari	Nandamuri Kalyan Ram	Kajal Aggarwal			Action
2016	Malupu	Sathya Prabhas Pinisetty	Aadhi	Nikki Galrani			Romance
2015	Lava Kusa	Jaya	Ravi Teja	Raashi Khanna			Action
