Year	Title	Director	Hero	Heroine	Music_Director
2014	Anukshanam	Ram Gopal Varma	Vishnu Manchu	Revathi	
2014	Red Bus	Dasari Narayana Rao	Vishnu Manchu	Catherine Tresa	
2014	Vichakshana	B.S. Rao	Harsha	Swathi	
2014	Paandavulu Paandavulu Thummeda	Sriwass	Mohan Babu	Raveena Tandon	
2014	Yuddam	Bharathi Ganesh	Yami Gautam Dhar	Yami Gautam Dhar	
2014	Choosinodiki Choosinanta	Anil Kumar	Sivaji	Nagalakshmi	
2013	Bunny N Cherry	Rajesh Puli	Prince	Mahat Raghavendra	
2013	Pavithra	Janardhana Maharshi	Shri	Bhavana	
2013	Kharjooram	N.R. Reddy	Sridhar	Nikitha	
2013	Man Of The Match	P. A. Arun Prasad	Sagar	Mrudula Murali	
2013	Prema ishq kaadhal	Pavan Sadineni	Harshvardhan Rane	Vithika Sheru	
2013	Chandi: The Power of Woman	V.Samudra	Priyamani	Krishnam Raju	
2013	Abbayi Class Ammayi Mass	Srinivas Koneti	Varun Sandesh	Hariprriya	
2012	Kulu Manali	Veerabhadram	Jaggi	Miryam Joy	
2012	Uu Kodathara Ulikki Padathara	Sekhar Raja	Manchu Manoj	Lakshmi Manchu	
2012	Yamaho Yama: in America	Y. Jitender	Sai Ram Shankar	Parvati Melton	
2012	Krantiveera Sangolli Rayanna	Naganna	Darshan Thoogudeepa Srinivas	Jaya Prada	
2012	Akash	Raj Kandukuri	Akash	Jyothi	
2012	Rasaleela	Majeed Maranchery	Darshan	Prathishta	
2011	Vara Prasad Potti Prasad	Satya Varanasi	Srinivas Avasarala	Vijay Sai	
2011	Lokame Kothaga	Bharath	Navdeep	Aditi Sharma	
2011	Kodipunju	B. V. V. Choudary	Tanish	Shobana	
2011	Karalu Miriyalu	Mohan Prasad	Sai Kiran	Roja	
2011	Lbw: Life Before Wedding	Praveen Sattaru	Abijeet Duddala	Chinmayi Ghatrazu	
2011	Payanam	Radha Mohan	Akkineni Nagarjuna	Poonam Kaur	
2011	Madatha Kaaja	Seetaramaraju Dantuluri	Allari Naresh	Sneha Ullal	
2011	Vankaya Fry	Chandu	Sumit Arora	Anusmriti Sarkar	
2010	Bhairava Ips	Polur Ghatikachalam	Srihari	Charlotte de Turckheim	
2010	Madhanudu	B. V. Ramana	Sunil	Saloni	
2010	Comedy Express	E. V. V. Satyanarayana	Kaushal Manda	Mayuri	
2010	Kothi Mooka	Amanchi Venkata Subrahmanyam	Shraddha Arya	Shraddha Arya	
2010	Em Pillo Em Pillado	Chowdary	Tanish	Pranitha	
2010	Udatha Udatha Ooch	Murali Ganesh	Chitram Seenu	Akshay, Prasanna	
2010	Prema Rajyam	Moolapati	Ramkiran	Meerakrishna	
2010	Aunty Uncle Nandagopal	Satyam	Srikanth	Meera Jasmine	
2010	Sandadi	Jagadish	Raja	Ghazal Thakur	
2010	Kaluva	Balaji Sakthivel	Sumanth	Kajal Aggarwal	
2010	Anaganaga Oka Aranyam	V.K. Prakash	Sai Kumar	Sri Ramya	
2010	Ranga the Donga	G V Sudhakar Naidu	Srikanth	Vimala Raman	
2010	The Desire	József Pacskovszky	Zsolt László	Catherine Wilkening	
2010	My Name Is Amrutha	Venkat Gouni	Bhanuchander	Keerthi	
2010	Kathi Kanta Rao	E. V. V. Satyanarayana	Allari Naresh	Kamna Jethmalani	
2010	Buridi	E. V. V. Satyanarayana	Aishwarya Bhaskar	Aishwarya Bhaskar	
2010	Ramdev	SK Basheed	Abbas, Jai Akash	Gracy Singh	
2009	Masth	S. V. Krishna Reddy	Prithvi	No Female Lead	
2009	Sontha ooru	P. Sunil Kumar Reddy	Raja	No Female Lead	
2009	Mental Krishna	Posani Krishna Murali	Posani Krishna Murali	Satya Krishnan	
2009	Sesh Sanghat	Ashoke Viswanathan	Ashish Vidyarthi	Jaya Prada	
2009	Indira Vizha	K. Rajeshwar	Srikanth	Namitha	
2009	Adhinetha	V. Samudra	Jagapathi Babu	Shraddha Das	
2009	Samardhudu	Arjun	Krishnam Raju	Sanjjanaa Galrani	
2008	Call Center	Kanmani	Vamsi Krishna	Luna Seid	
2008	Bhadradri	Mallikarjun	Srihari	Gajala	
2008	Idhi Sangathi	Chandra Siddhartha	Abbas	Tabu	
2008	Abbo Aadavallu	T.N. Raju	Sailesh	Vanitha Reddy	
2008	Gunde Jallumandi	Madhura Sreedhar	Uday Kiran	Aditi Sharma	
2008	Highway	Kovvi Kalya Krishna	Aditya Om	Vedika	
2008	Kshudra	Nagul	Priyanka	Ramya Krishnan	
2008	Adhyakshaa	Marudhuri Raja	Brahmaji	Aishwarya	
2008	Buddha	Prakash	Suresh Gopi	Anu Emmanuel	
2008	Black & White	Aditi Roy	Rajeev Kanakala	Kalyani	
2008	Mangatayaru Tiffin Centre	Venki	Mumaith Khan	Jeeva	
2008	Ullasanga Utsahanga	A. Karunakaran	Yasho Sagar	Sneha Ullal	
2008	Konchem Kothaga	Raju Rajendra Prasad	Venkat	Tulip Joshi	
2007	Amma Nanna Lekunte	Y. Ramakrishna	Krishna	Sujitha	
2007	Athili Sattibabu Lkg	Athili Sattibabu Lkg	E V V Satyanarayana	Kausha Rach	
2007	Brahma	Srinivasa Rao	Srikanth	Trisha	
2007	Bhajantrilu	Jayaraj	Sivaji	Raasi	
2007	Sunny	Kamalakar	Kamalakar	Abhirami	
2007	Notebook	Chandu	Rajiv Saluri	Gayatri	
2007	Athili Sathibabu LKG	E. V. V. Satyanarayana	Allari Naresh	Kausha Rach	
2007	Daughters' Destiny	May Gauffin	Savitri	Thuli Maya	
2007	Shirdi	V. R. Pratap	Krishna	No Female Lead	
2007	Deha	Mahesh Manjrekar	Mahesh Manjrekar	Amrita Arora	
