Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1980	Nijam	Devadas Kanakala	Sridhar	Kavitha			Drama
1980	Gayyali Gangamma	L. V. Prasad	Krishnam Raju	Jayasudha			Drama
1980	Ammayi Mogudu Mamaku Yamudu	Amrutha	Krishna	Rajani Sharma			Drama
1980	Chesina Baasalu	Kodandarami Reddy	Sarath Babu	Geetha			Drama
1980	Kaksha	Vamsy	Sobhan Babu	No Female Lead			Drama
1980	Alludu Pattina Bharatam	K. Vishwanath	Krishnam Raju	Jaya Prada			Drama
1979	Maavari Manchitanam	B	Gummadi Venkateswara Rao	No Female Lead			Drama
1979	Andadu Aagadu	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1979	Maavaari Manchithanam	Bhavanichandra	Krishnam Raju	Jaya Prada			Drama
1979	Judagadu	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1979	Muddula Koduku	V. B. Rajendra Prasad	Akkineni Nageswara Rao	Jayasudha			Drama
1979	Vetagadu	K. Raghavendra Rao	Krishna	Sridevi			Drama
1979	Guppedu Manasu	K. Balachander	Sarath Babu	Saritha			Drama
1979	ViyyalavariKayyalu	K. Kattubadi	Krishna	Jaya Prada			Drama
1979	Rama Banam	K Vasu	N.T. Rama Rao	Vanisri			Drama
1979	Needa	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Drama
1979	Kalyani	T. Rama Rao	Sobhan Babu	Vanisri			Drama
1979	Srungara Ramudu	K. Vasu	N.T. Rama Rao	Madhavi			Drama
1979	Vetagaadu	K Vasu	N.T. Rama Rao	Sridevi			Drama
1979	Samajaniki Savaal	S.P. Rajaram	Krishna	Sridevi			Drama
1979	Yevadabbasommu	K.S.R. Das	Krishna	Sripriya			Drama
1979	Nimajjanam	Bhavanichandra	Sobhan Babu	Sridevi			Drama
1979	Naa Illu Naa Vallu	Raja Chandra	Giribabu	Gummadi			Drama
1979	Akbar Salim Anarkali	B. Vittalacharya	Nandamuri Balakrishna	Deepa			Drama
1979	Driver Ramudu	K Vasu	N.T. Rama Rao	Jayasudha			Drama
1979	Karthika Deepam	Lakshmi Deepak	Geetha	Sridevi			Drama
1979	Pancha Bhoothalu	P	Ch	ramohan			Drama
1979	Hema Hemeelu	Vijaya Nirmala	Krishna	No Female Lead			Drama
1979	Nindu Noorellu	K Vasu	Krishnam Raju	Jaya Prada			Drama
1979	Andaman Ammayi	V	Akkineni Nageswara Rao	No Female Lead			Drama
1979	Burripalem Bullodu	Bapu	Krishna	Jayasudha			Drama
1979	Dongalaku Savaal	K.S.R. Das	Krishna	Jaya Prada			Drama
1979	Rangoon Rowdy	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Drama
1979	Nagna Sathyam	D Vasu	Krishnam Raju	Jaya Prada			Drama
1979	Kaliyuga Mahabharatam	K. Raghavendra Rao	Krishnam Raju	Jayasudha			Drama
1979	Mande Gundelu	K. Vasu	Krishna	Latha			Drama
1979	Shri Rama Bantu	S. D. Lal	Chandra Mohan	Geetha			Drama
1979	Moodu Puvvulu Aaru Kayalu	Vijaya Nirmala	Krishna	Vijaya Nirmala			Drama
1979	Sanku Teertham	K. Viswanath	Krishna	No Female Lead			Drama
1979	Chaaya	Satyendra Kumar	Satyendra Kumar	Roopa Devi			Drama
1979	Muthaiduva	P. Chandrasekhara Reddy	Krishna	No Female Lead			Drama
1979	Captain Krishna	K.S.R. Das	Krishna	Vijaya Nirmala			Drama
1979	Gorintaku	K. Vasu	Sobhan Babu	Sujatha			Drama
1979	Ravanude Ramudayithe?	Dasari Narayana Rao	Akkineni Nageswara Rao	Lakshmi			Drama
1978	Nayudu Bava	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Drama
1978	Sati Savithri	Bapu	Krishnam Raju	Jaya Prada			Drama
1978	Surya Chandrulu	V.C. Guhanathan	Chandramohan	Vijaya Nirmala			Drama
1978	Athani Kante Ghanudu	K. Vasu	Krishna	Jaya Prada			Drama
1978	Radha Krishna	K Vasu	Krishnam Raju	Jaya Prada			Drama
1978	Rowdy Rangamma	Kodandarami Reddy	Krishnam Raju	Madhavi			Drama
1978	Mallepoovu	K Vasu	Sobhan Babu	Jaya Prada			Drama
1978	Rajaputra Rahasyam	K Vasu	N.T. Rama Rao	Jaya Prada			Drama
1978	Yuga Purushudu	K	Kaikala Satyanarayana	No Female Lead			Drama
1978	Ramachilaka	Dasari Narayana Rao	Akkineni Nageswara Rao	Latha			Drama
1978	Mugguru Muggure	S.D. Lal	Krishna	Jayachitra			Drama
1978	Dongala Veta	K. Vasu	Krishna	Jaya Prada			Drama
1978	Chali Cheemalu	K. Vasu	Krishnam Raju	Jaya Prada			Drama
1978	Chilipi Krishnudu	Relangi Narasimha Rao	Krishnam Raju	Jaya Prada			Drama
1978	Sommokadidi Sokokadidi	Singeetam Srinivasa Rao	Kamal Haasan	Jayasudha			Drama
1978	Padaharella Vayasu	K. Vasu	Sobhan Babu	Sridevi			Drama
1978	Sahasavanthudu	K Vasu	Krishnam Raju	Jayachitra			Drama
1978	Khaidi No. 77	V. Hanuman Prasad	Murali Mohan	Deepa			Drama
1978	Kondura	K. Vasu	Vishnuvardhan	Bharathi			Drama
1978	Melu Kolupu	Relangi Narasimha Rao	N.T. Rama Rao	Jayasudha			Drama
1978	Pottelu Punnamma	Dasari Narayana Rao	Krishnam Raju	Jaya Prada			Drama
1978	Nindu Manishi	K Vasu	N.T. Rama Rao	Jaya Prada			Drama
1978	Enki Naidu Bava	B. Subba Rao	Sobhan Babu	Mohan Babu			Drama
1978	Kumara Raja	K. Vasu	Krishna	Jaya Prada			Action
1978	Katakataala Rudraiah	Dasari Narayana Rao	Krishnam Raju	Jayasudha			Drama
1978	Dongala Dopidi	K. Vasu	Krishna	Jaya Prada			Drama
1978	Manchi Babai	K Vasu	Krishnam Raju	Jaya Prada			Drama
1978	Sri Renukadevi Mahatyam	C. S. Rao	B. Saroja Devi	Gummadi			Drama
1978	Simha Garjana	Krasna	Krishna	Sridevi			Drama
1978	Agent Gopi	Kvasula Ramesh	Krishna	Jayachitra			Drama
