Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1969	Aatmiyulu	V. Madhusudhana Rao	Akkineni Nageswara Rao	Vanisri			Drama
1969	Aggi Veerudu	BVS Rama Rao	N.T. Rama Rao	Krishna Kumari			Drama
1969	Annadammulu	K. Viswanath	Krishna	Vijaya Nirmala			Drama
1969	Ardharathiri	Bapu	N.T. Rama Rao	Vanisri			Drama
1969	Astulu Anthastulu	K. Viswanath	Krishna	Vanisri			Drama
1969	Bandhipotu Bhimanna	Mallampalli Ramachary	N.T. Rama Rao	Krishna Kumari			Drama
1969	Bandipotu Bheemanna	K. Pratyagatma	Krishna	Jamuna			Drama
1969	Bhale Abbailu	K. Viswanath	Krishna	Jamuna			Drama
1969	Bhale Mastaru	K Balachander	Akkineni Nageswara Rao	Krishna Kumari			Drama
1969	Bhale Rangadu	Basu Chatterjee	Akkineni Nageswara Rao	Vanisri			Drama
1969	Bommalu Cheppina Katha	K. Viswanath	Krishna	Vijaya Nirmala			Drama
1969	Buddhimantudu	V. Ramachandra Rao	Akkineni Nageswara Rao	Jayalalitha			Drama
1969	Gandaragandudu	K Hemambharadhara Rao	N.T. Rama Rao	Kanchana			Drama
1969	Gandikota Rahasyam	B. Vittalacharya	N.T. Rama Rao	Jayalalitha			Drama
1969	Jagath Kiladeelu	Dasari Narayana Rao	Krishna	Vanisri			Drama
1969	Jarigina Katha	K. Viswanath	Krishna	Kanchana			Drama
1969	Kadaladu Vadaladu	K Hemambharadhara Rao	N.T. Rama Rao	Krishna Kumari			Drama
1969	Karpoora Harathi	K. Viswanath	Krishna	Vanisri			Drama
1969	Kathanayakudu	K Vasu	N.T. Rama Rao	Jayalalitha			Action
1969	Love in Andhra	Ravi Kondala Rao	Krishna	Vijaya Nirmala			Drama
1969	Mahabaludu	K. V. Reddy	Krishna	Jamuna			Drama
1969	Mamaku Tagga Kodalu	C. S. Rao	N.T. Rama Rao	Savitri			Drama
1969	Manchi Mithrulu	T. Rama Rao	Krishna	Shobhan Babu			Drama
1969	Manishichina Maguva	K Vasu	N.T. Rama Rao	Vanisri			Drama
1969	Manushulu Marali	V. Ramachandra Rao	N.T. Rama Rao	Krishna Kumari			Drama
1969	Mathru Devata	Sadhana	N.T. Rama Rao	Savitri			Drama
1969	Muhrutha Balam	K. Viswanath	Krishna	Jayalalithaa			Drama
1969	Natakala Rayudu	K Vasu	N.T. Rama Rao	Kanchana			Drama
1969	Poovanam	Bapu	Sobhan Babu	Krishna Kumari			Drama
1969	Raja Simha	K Vasu	N.T. Rama Rao	Jamuna			Drama
1969	Sabash Satyam	C.S. Rao	Krishna	Vanisri			Drama
1969	Saptaswaralu	Vasu Menon	Akkineni Nageswara Rao	Vanisri			Drama
1969	Sattekalapu Satteya	K. Balachander	Krishna	Vanisri			Drama
1969	Shri Rama Katha	B. Padmanabham	Anjali Devi	Gummadi			Drama
1969	Sipayi Chinnayya	G. K. Ramu	N.T. Rama Rao	Krishna Kumari			Drama
1969	Takkari Donga Chakkani Chukka	K. S. R. Doss	Krishna	Vijaya Nirmala			Drama
1969	Ukkupidugu	Adurthi Subba Rao	N.T. Rama Rao	Vanisri			Drama
1969	Vichitra Kutumbam	Adauru Bhujanga Rao	Krishna	Kanchana			Drama
1968	Aggi Meeda Guggilam	G. Viswanatham	Tadepalli Lakshmi Kanta Rao	Rajasree			Drama
1968	Asadhyudu	V. Madhusudhan Rao	Krishna	Kanchana			Drama
1968	Attagaru Kotha Kodalu	Sanjeevi	Krishna	Vijaya Nirmala			Drama
1968	Bandhavyalu	Adurthi Subba Rao	Sobhan Babu	Vanisri			Drama
1968	Bandipotu Dongalu	KVAS	N.T. Rama Rao	Krishna Kumari			Drama
1968	Bangaru Gaajulu	Bapu	Akkineni Nageswara Rao	Vanisri			Drama
1968	Bangaru Sankellu	G. K. Ramu	Sobhan Babu	Krishna Kumari			Drama
1968	Bhagya Chakramu	GV R Srinivas	N.T. Rama Rao	Vanisri			Drama
1968	Bhale Master	S.D. Lal	N.T. Rama Rao	Kanchana			Drama
1968	Bharya	K.S. Prakash Rao	Akkineni Nageswara Rao	Vanisri			Drama
1968	Brahmachari	V Madhusudhana Rao	Akkineni Nageswara Rao	Jayalalithaa			Drama
1968	Chelleli Kosam	K. Viswanath	Krishna	Vijaya Nirmala			Drama
1968	Chinnari Papalu	B. V. Prasad	Sobhan Babu	Vanisri			Drama
1968	Circar Express	C.S. Rao	Krishna	Krishna Kumari			Drama
1968	Devadichina Bharta	C Pullaiah	N.T. Rama Rao	Krishna Kumari			Drama
1968	Devakanya	Sedhu	Krishna	Kanchana			Drama
1968	Evaru Monagadu	Bharathiraja	Akkineni Nageswara Rao	Kanchana			Drama
1968	Govula Gopanna	CR Reddy	N.T. Rama Rao	Jamuna			Drama
1968	Kalisochina Adrushtam	K Vasu	N.T. Rama Rao	Krishna Kumari			Drama
1968	Kumkuma Barani	K Vasu	N.T. Rama Rao	Krishna Kumari			Drama
1968	Manasamsaram	C. Pullaiah	Sobhan Babu	Shavukaru Janaki			Drama
1968	Manchi Kutumbam	K. Viswanath	Krishna	Vanisri			Drama
1968	Nadamanthrapu Siri	T Rama Rao	N.T. Rama Rao	Krishna Kumari			Drama
1968	Nene Monaganni	K Balachander	N.T. Rama Rao	Vanisri			Drama
1968	Niluvu Dopidi	K. Pratyagatma	Krishna	Vanisri			Drama
1968	Nindu Samsaram	C. S. Rao	N.T. Rama Rao	Krishna Kumari			Drama
1968	Paala Manasulu	Bollementi Tangella	Haranath	Savitri			Drama
1968	Panthaalu Pattimpulu	V. Rao	N.T. Rama Rao	Krishna Kumari			Drama
1968	Papa Kosam	K. Vasu	Krishna	Vanisri			Drama
1968	Pedaraasi Peddamma Katha	Giduthoori Suryam	Tadepalli Lakshmi Kanta Rao	Krishna Kumari			Drama
1968	Pelliroju	Adurthi Subba Rao	Akkineni Nageswara Rao	Vanisri			Drama
1968	Raja Yogam	Bapu	N.T. Rama Rao	Jayalalitha			Drama
1968	Rana Bheri	V. Nagayya	N.T. Rama Rao	Krishna Kumari			Drama
1968	Sati Arundhati	Tatineni Prakash Rao	Akkineni Nageswara Rao	Vanisri			Mythological
1968	Sudigundaalu	Adurthi Subba Rao	N.T. Rama Rao	Krishna Kumari			Drama
1968	Sudigundalu	Adurthi Subba Rao	Akkineni Nageswara Rao				Drama
1968	Thalli Prema	Krishnan Panju	Akkineni Nageswara Rao	Krishna Kumari			Drama
1968	Tikka Sankaraiah	D.Yoganand	N.T. Rama Rao	Krishna Kumari			Drama
1968	Uma Chandi Gowri Shankarula Katha	K. V. Reddy	N.T. Rama Rao	B. Saroja Devi			Drama
1968	Undamma Bottu Pedata	K. Viswanath	Krishna	Jamuna			Drama
1968	Veeranjaneya	Kamalakara Kameswara Rao	N.T. Rama Rao	Krishna Kumari			Drama
1968	Vintha Kapuram	K. Viswanath	Krishna	Jamuna			Drama
1967	Aada Paduchu	Adurthi Subba Rao	N.T. Rama Rao	Vanisri			Drama
1967	Bhaktha Prahlada	Chitrapu Narayana Rao	N.T. Rama Rao	Anjali Devi			Mythological
1967	Bhuvana Sundari Katha	Chittajallu Pullayya	N.T. Rama Rao	Krishna Kumari			Drama
1967	Chadarangam	Savithri	N.T. Rama Rao	Savitri			Drama
1967	Devuni Gelichina Manavudu	Hunsur Krishnamurthy	T. L. Kantha Rao	Vanisree			Drama
1967	Dwapayana Kaivalyam	Bapu	Akkineni Nageswara Rao	Savitri			Drama
1967	Gopaludu Bhoopaludu	Gudavalli Ramabrahmam	N.T. Rama Rao	Jamuna			Drama
1967	Gruhalakshmi	P Pullaiah	N.T. Rama Rao	Jayalalitha			Comedy
1967	Iddaru Monagallu	K. Viswanath	Krishna	Vanisri			Drama
1967	Kambojaraju Katha	B Vittalacharya	N.T. Rama Rao	B Saroja Devi			Drama
1967	Kanchu Kota	C Pullaiah	N.T. Rama Rao	Krishna Kumari			Drama
1967	Konte Pilla	C. S. Rao	N.T. Rama Rao	Krishna Kumari			Drama
1967	Maa Vadina	B. V. Prasad	N.T. Rama Rao	Savitri			Drama
1967	Marapurani Katha	B. Vittalacharya	Krishna	Vanisri			Drama
1967	Nindu Manasulu	C Pullaiah	N.T. Rama Rao	Savitri			Drama
1967	Nirdoshi	V. Ramachandra Rao	Kantha Rao	Krishna Kumari			Drama
1967	Pedda Akkayya	A Sanjeevi	N.T. Rama Rao	Vanisri			Drama
1967	Prana Mithrulu	Pullaya	N.T. Rama Rao	Krishna Kumari			Drama
1967	Rahasyam	B. V. Prasad	Akkineni Nageswara Rao	B. Saroja Devi			Mythological
1967	Sati Sumathi	Vedantam Raghavayya	N.T. Rama Rao	Krishna Kumari			Drama
1967	Sri Sri Sri Maryada Ramanna	K. Hemambharadhara Rao	B. Padmanabham	Gitanjali			Drama
1967	Sudigundalu	Adurthi Subba Rao	N.T. Rama Rao	Krishna Kumari			Drama
1967	Ummadi Kutumbam	Adauru Bhujanga Rao	N.T. Rama Rao	Savitri			Drama
1967	Upayamlo Apayam	T. Krishna	Krishna	Vijaya Nirmala			Drama
1967	Vasantha Sena	B. S. Ranga	Akkineni Nageswara Rao	No Female Lead			Mythological
1967	Veera Pooja	K Hemambharadhara Rao	N.T. Rama Rao	Krishna Kumari			Drama
