Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1963	Aapta Mitrulu	V. Madhusudhana Rao	Akkineni Nageswara Rao	Krishna Kumari			Drama
1963	Aaptha Mithrulu	V Nacharya	N.T. Rama Rao	Krishna Kumari			Drama
1963	Anuragam	Jaragala Kashyap	Jaggaiah	Pushpavalli			Drama
1963	Bandipotu	BVS Rama Rao	N.T. Rama Rao	Krishna Kumari			Drama
1963	Chaduvukunna Ammayilu	V. Madhusudhana Rao	N.T. Rama Rao	Krishna Kumari			Drama
1963	Constable Koothuru	Ardeshir Irani	N.T. Rama Rao	Krishna Kumari			Drama
1963	Deva Sundari	Hemambharadhara Rao	N.T. Rama Rao	Krishna Kumari			Drama
1963	Edureeta	Adurthi Subba Rao	Akkineni Nageswara Rao	Savitri			Drama
1963	Eedu Jodu	Adurthi Subba Rao	N.T. Rama Rao	Savitri			Drama
1963	Irugu Porugu	Irranji Sharma	Kantha Rao	Rajashree			Drama
1963	Lakshadhikari	BVS Rama Rao	N.T. Rama Rao	Krishna Kumari			Drama
1963	Manchi Chedu	Tatineni Prakash Rao	Akkineni Nageswara Rao	Savitri			Drama
1963	Naga Devata (Dub)	Shantilal Soni	Mahipal	Anjali Devi			Drama
1963	Paruvu-Prathishta	Ardeshir Irani	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1963	Paruvu-Prathishtta	Adeen	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1963	Pempudu Koothuru	Adurthi Subba Rao	N.T. Rama Rao	Devika			Drama
1963	Punarjanma	Kathuri	Akkineni Nageswara Rao	Pushpavalli			Drama
1963	Savati Koduku	Y R Swamy	N.T. Rama Rao	Krishna Kumari			Drama
1963	Somavara Vratha Mahathyam	R. M. Krishnaswamy	Kanta Rao	Devika			Drama
1963	Sri Tirupatamma Katha	B. S. Narayana	N.T. Rama Rao	Krishna Kumari			Mythological
1963	Thalli Biddalu	B. Eswara Rao	N.T. Rama Rao	Krishna Kumari			Drama
1963	Thobuttuvulu	C Pullaiah	N.T. Rama Rao	Krishna Kumari			Drama
1963	Valmiki	B. S. Ranga	N.T. Rama Rao	Kanchana			Drama
1963	Vishnu Maya	B. S. Ranga	N.T. Rama Rao	Devika			Drama
1962	Aasha Jeevulu	C. Pullaiah	Akkineni Nageswara Rao	Krishna Kumari			Drama
1962	Aathma Bandhuvu	V Madhusudhana Rao	N.T. Rama Rao	Savitri			Drama
1962	Appaginthalu	V. Madhusudhana Rao	Akkineni Nageswara Rao	Krishna Kumari			Drama
1962	Chitti Tammudu	K B Srinivasan	N.T. Rama Rao	Krishna Kumari			Drama
1962	Dakshayagnam	R. S. Prakash	N.T. Rama Rao	B. Saroja Devi			Mythological
1962	Gaali Medalu	B. R. Panthulu	Akkineni Nageswara Rao	Krishna Kumari			Drama
1962	Gulebakavali Katha	K Shankar	N.T. Rama Rao	Krishna Kumari			Drama
1962	Kalimilemulu	B. S. Ranga	Akkineni Nageswara Rao	Krishna Kumari			Drama
1962	Khaidi Kannayya	B Vittalacharya	Kanta Rao	No Female Lead			Drama
1962	Madana Kamaraju Katha	B. Vittalacharya	Kanta Rao	Haranath			Drama
1962	Manchi Manasulu	Adurthi Subba Rao	Akkineni Nageswara Rao	Savitri			Drama
1962	Mohini Rukmangada	B. S. Ranga	N.T. Rama Rao	Savitri			Drama
1962	Nagarjuna	Yoganand	Akkineni Nageswara Rao	B Saroja Devi			Drama
1962	Nichaya Thamboolam	B. S. Ranga	Akkineni Nageswara Rao	Savitri			Drama
1962	Padandi Mundhuku	V. Madhusudhana Rao	Jaggayya	Jamuna			Drama
1962	Padandi Munduku	V. Madhusudhan Rao	Kongara Jaggayya	Garikapati Varalakshmi			Drama
1962	Samrat Pruthviraj (Rani Samyukta)	Harsukh Bhatt	Paidi Jairaj	Anithaguha			Drama
1962	Siri Sampadalu	B. Vittalacharya	N.T. Rama Rao	Devika			Drama
1962	Swarna Gowri	YR Swamy	N.T. Rama Rao	Rajashree			Drama
1962	Swarna Manjari	V Madhusudhana Rao	N.T. Rama Rao	Rajashree			Drama
1961	Batasari	V Madhusudhana Rao	N.T. Rama Rao	Devika			Drama
1961	Bava Maradallu	Tatineni Prakash Rao	N.T. Rama Rao	Savitri			Drama
1961	Bhakta Jayadeva	B. S. Ranga	Akkineni Nageswara Rao	Anjali Devi			Mythological
1961	Bharya Bhartalu	Kovai B. Sambandham	Akkineni Nageswara Rao	Savitri			Drama
1961	Bikari Ramudu	P Pullaiah	N.T. Rama Rao	Devika			Drama
1961	Evaru Donga	C. S. Rao	N.T. Rama Rao	Rajashree			Drama
1961	Gullo Pelli	B. S. Ranga	N.T. Rama Rao	Savitri			Drama
1961	Intiki Deepam Illale	V. N. Reddy	N.T. Rama Rao	Jaggayya			Drama
1961	Kalasi Vunte Kaladu Sukham	Tapi Chanakya	N.T. Rama Rao	Savitri			Drama
1961	Kanna Koduku	B. S. Ranga	N.T. Rama Rao	Krishna Kumari			Drama
1961	Kannyaka Parameswari Mahatmyam	A. S. A. Sami	Sivaji Ganesan	Padmini			Drama
1961	Korada Veerudu (Tamil: Chavukkadi Chandrakanta)	M. Radhakrishnan	P. S. Veerappa	Showkar Janaki			Drama
1961	Krishna Kuchela	Jasapara Bapu	N.T. Rama Rao	Kanchana			Mythological
1961	Kula Gothralu	Kotayya Pratyagatma	Akkineni Nageswara Rao	Krishna Kumari			Drama
1961	Pelli Kaani Pillalu	C. S. Rao	Jaggayya	Kanta Rao			Drama
1961	Pendli Pilupu	B Ramakrishnaiah Panthulu	N.T. Rama Rao	B Saroja Devi			Drama
1961	Rushyasrunga	Hunsur Krishnamurthy	Rajkumar	Leelavathi			Drama
1961	Sabhash Raja	P	N.T. Rama Rao	Devika			Drama
1961	Santha	Aavinash Vyas	Akkineni Nageswara Rao	Krishnakumari			Drama
1961	Shanta	V Madhusudhana Rao	Akkineni Nageswara Rao	Krishna Kumari			Drama
1961	Taxi Ramudu	Bachey	N.T. Rama Rao	Devika			Drama
1961	Thandrulu Kodukulu	Bachey	N.T. Rama Rao	Devika			Drama
1961	Vagdanam	Yoganand	N.T. Rama Rao	Devika			Drama
1961	Varalakshmi Vratham	Margaret Tudeau	N.T. Rama Rao	Jamuna			Drama
1961	Velugu Needalu	Adurthi Subba Rao	Akkineni Nageswara Rao	Savitri			Drama
