Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1975	Aadhani Adrustam	K Vasu	Krishnam Raju	Vijaya Nirmala			Drama
1975	Abhimanavathi	K. Vasu	Krishna	Vanisri			Drama
1975	Ammayila Sapatham	Dasari Narayana Rao	Krishnam Raju	Vanisri			Drama
1975	Ammayilu Jagratha	Bharathiraja	Krishnam Raju	Latha			Drama
1975	Andaru Manchivare	Bapu	Krishnam Raju	Vijayalalitha			Drama
1975	Annadammula Anubandham	B. Vittalacharya	Nandamuri Balakrishna	Vanisri			Drama
1975	Annadammula Katha	Dasari Narayana Rao	N.T. Rama Rao	Vanisri			Drama
1975	Anuragalu	K. Vasu	Murali Mohan	Jayasudha			Drama
1975	Babu	K. Balachander	Shobhan Babu	Sujatha			Drama
1975	Balipeetam	Dasari Narayana Rao	Krishnam Raju	Vanisri			Drama
1975	Bhagasthulu	K. Viswanath	Krishnam Raju	Jayasudha			Drama
1975	Bharatamlo Oka Ammayi	Dasari Narayana Rao	Murali Mohan	Jayachitra			Drama
1975	Bharathi	K. Viswanath	Krishnam Raju	Jayasudha			Drama
1975	Bullemma Sapatham	Dasari Narayana Rao	Krishnam Raju	Deepa (Unni Mary)			Drama
1975	Chaduvu Samskaram	V. Madhusudhana Rao	Krishnam Raju	Vanisri			Drama
1975	Challani Thalli	K.S. Rami Reddy	Vijaykanth	Sreevidya			Drama
1975	Cheekati Velugulu	K. Vasu	Krishna	Vanisri			Drama
1975	Chinninati Kalalu	K. Vasu	Krishnam Raju	Jayasudha			Drama
1975	Chittamma Chilakamma	B. Bhaskara Rao	Murali Mohan	Jayachitra			Drama
1975	Cinema Vaibhavam	Multiple Directors	Ensemble Cast	Savitri			Drama
1975	Devude Digivaste	Dasari Narayana Rao	Krishnam Raju	Vanisri			Drama
1975	Devudu Chesina Pelli	T. Rama Rao	Sobhan Babu	Sharada			Drama
1975	Devudulanti Manishi	Dasari Narayana Rao	Krishna	Vanisri			Drama
1975	Ee Kalam Dampathulu	D. Yoganand	Jamuna	No Female Lead			Drama
1975	Gajula Kishtayya	K. Vasu	Krishna	Latha			Drama
1975	Gunavanthudu	K Vasu	N.T. Rama Rao	Vanisri			Drama
1975	Jeevana Jyothi	K. Vasu	Murali Mohan	Jayasudha			Drama
1975	Kathanayakuni Katha	Dasari Narayana Rao	N.T. Rama Rao	Vanisri			Drama
1975	Kothakapuram	K. Vasu	Krishna	Vijaya Nirmala			Drama
1975	Lakshmana Rekha	N. Gopala Krishna	Chandra Mohan	Jayanthi			Drama
1975	Maa Inti Devudu	B. V. Prasad	Vijaya Lalitha	Phani			Drama
1975	Maa Voori Ganga	K. S. R. Das	Lakshmi	No Female Lead			Drama
1975	Mallela Manasulu	Adurthi Subba Rao	Sobhan Babu	Jayasudha			Drama
1975	Moguda? Pellama?	K Vasu	Krishnam Raju	Jamuna			Drama
1975	Mutyala Muggu	Bapu	Sobhan Babu	Sangeetha			Drama
1975	Naaku Swatantram Vachindi	Lakshmi Deepak	Krishnam Raju	Gummadi			Drama
1975	Pandanti Samsaram	Dasari Narayana Rao	Krishna	Vanisri			Drama
1975	Pichodi Pelli	Bapu	Sobhan Babu	Manjula			Drama
1975	Puttinti Gowravam	Dasari Narayana Rao	Krishnam Raju	Shubha			Drama
1975	Raktha Sambandham	Dasari Narayana Rao	Shobhan Babu	Vanisri			Drama
1975	Rakthasambandhalu	M. Mallikarjuna Rao	Krishna	Manjula			Drama
1975	Ramayya Thandri	K. Vasu	Krishna	No Female Lead			Drama
1975	Ramuni Minchina Ramudu	M. S. Gopinath	N.T. Rama Rao	Vanisri			Drama
