ID,Title (English),Title (Telugu),Year,Synopsis Preview,Source,Updated At
f6cd0d92-ac4f-4c21-a18a-ff1c263596e1,"Mirai (2025 film)","-",2025,"మిరాయి 2025 న విడుదలైన తెలుగు భాషా ఫాంటసీ సూపర్ హీరో యాక్షన్ అడ్వెంచర్ సినిమా; కార్తీక్ గట్టమ్నేని ర...","english_wikipedia_translated","2026-01-12T01:37:54.070845+00:00"
565a96a9-ebff-4cdf-ae39-bdb26c4acfb6,"The Rajasaab","-",2026,"ది రాజాసాబ్ 2025లో విడుదలైన తెలుగు భాషా ఫాంటసీ హారర్ కామెడీ చిత్రం. మారుతి రచన మరియు దర్శకత్వం వహించ...","english_wikipedia_translated","2026-01-12T01:37:52.066937+00:00"
40671ff1-229b-4ea8-90e7-a8b118aa9747,"Adipurush","-",2023,"ఆదిపురుష్ 2023లో విడుదలైన భారతీయ పురాణ యాక్షన్ చిత్రం; ఇది హిందూ ఇతిహాసం రామాయణం నుండి స్ఫూర్తి పొంద...","english_wikipedia_translated","2026-01-12T01:37:51.938248+00:00"
7e667857-1914-4376-aff9-235e6c44de5a,"The Eye","-",2023,"ది ఐ 2023లో విడుదలైన బ్రిటిష్ సైకాలాజికల్ థ్రిల్లర్ చిత్రం; దీనికి డాఫ్నే స్క్మోన్ దర్శకత్వం వహించాడ...","english_wikipedia_translated","2026-01-12T01:31:37.936417+00:00"
9364f5fd-99b1-477b-b710-f9d11035aaac,"Modern Masters: SS Rajamouli","-",2024,"మోడర్న్ మాస్టర్స్: ఎస్.ఎస్. రాజమౌళి 2024లో విడుదలైన భారతీయ ఆంగ్ల డాక్యుమెంటరీ చిత్రం. రాఘవ్ ఖన్నా; త...","english_wikipedia_translated","2026-01-12T01:28:19.531305+00:00"
172f3b50-0230-4758-b946-1faa6dce9d84,"O'Romeo","-",2026,"విశాల్ భరద్వాజ్ ఒక భారతీయ చలనచిత్ర నిర్మాత; సంగీత దర్శకుడు; నేపథ్య గాయకుడు. హిందీ సినిమారంగంలో ఆయన చ...","english_wikipedia_translated","2026-01-12T01:23:48.466343+00:00"
98bb4726-2efb-47fb-ba2b-8d754dc000d7,"Ranger","-",2026,"రేంజర్ అనేది సాధారణంగా చట్టాన్ని అమలు చేసే లేదా సైనిక/అర్ధ సైనిక పాత్రలో ఉండే వ్యక్తి; ఇతరులను నియంత...","english_wikipedia_translated","2026-01-12T01:23:48.074645+00:00"
0c45340d-f37b-4533-a1e2-aa6606fb9ecf,"Sikandar Ka Muqaddar","-",2024,"సికందర్ కా ముకద్దర్ 2024 న విడుదలైన హిందీ భాషా హీస్ట్ థ్రిల్లర్ సినిమా. నీరజ్ పాండే దర్శకత్వం వహించి...","english_wikipedia_translated","2026-01-12T01:23:47.877306+00:00"
6d0b341c-cf02-4374-b00d-fb05365d0429,"Vedaa","-",2024,"వేదా 2024 భారతీయ హిందీ భాషా యాక్షన్ డ్రామా చిత్రం; నిఖిల్ అద్వానీ దర్శకత్వం వహించి అసీమ్ అరోరా రాశార...","english_wikipedia_translated","2026-01-12T01:23:44.777951+00:00"
24166679-2203-4ffb-97f7-48e25b85db71,"Aranmanai 4","-",2024,"అరణ్మనై 4 2024 సంవత్సరంలో విడుదలైన భారతీయ తమిళ భాషా కామెడీ హారర్ చిత్రం; దీనికి సుందర్ సి దర్శకత్వం ...","english_wikipedia_translated","2026-01-12T01:23:44.677855+00:00"
