"DB Movie ID","Actor","Wikipedia Title","DB Title","Wikipedia Year","DB Year","Year Diff","Match Score","Category","Suggested Decision","Notes","Final Decision (APPROVE/REJECT/RESEARCH)","Reviewer Notes"
"b86e2547-0dfb-4a5f-b046-72e49fc6c39f","ali","Super","Super","2011","2010","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"7c060e17-7647-4f6c-b5f4-70d22dd7f197","amala","Shiva","Shiva","1990","1989","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"ee48c5f0-5d38-4314-bfe6-d19f90a93e0b","amala","Life Is Beautiful","Life Is Beautiful","2013","2012","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"2853a847-2793-42dc-8e78-c6ce730a6e1e","amala","Oke Oka Jeevitham","Oke Oka Jeevitham","2023","2022","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"99e725b0-4ccf-49c7-8295-dc2aec633399","chandra mohan","Sankarabharanam","Sankarabharanam","1979","1980","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"9f0290a8-9045-4ebb-a9d3-5aad76137d47","chandra mohan","Sarocharu","Sarocharu","2013","2012","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"b16d349d-9a85-42a1-8cae-e4701aeea0f1","geetha","Lion","Lion","2015","2016","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"29ab91a1-296b-4428-83a6-c6b9dda8b1c0","jaggayya","Meghasandesam","Meghasandesam","1983","1982","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"9b5fd4b3-d8ba-4bdb-bef2-1ada70b6f6f0","jaya prada","Srivari Muchatlu","Srivari Muchatlu","1981","1980","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"da5f58fb-dc86-4667-9435-c633148e8b46","kanta rao","Nagarjuna","Nagarjuna","1961","1962","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"992a60ef-0efd-4c60-ad2a-cb0c324db84d","prakash raj","Suswagatham","Suswagatham","1997","1998","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"d53f3678-0fe2-4d7d-95a0-847e80359765","prakash raj","Anthapuram","Anthapuram","1998","1999","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"4c27bc2f-6838-4ac3-afff-f5c62aac3bb3","pushpavalli","Samsaram","Samsaram","1951","1950","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"9dc8a781-5a14-4b3b-9f82-ce6014b1a7ab","pushpavalli","Manchi Chedu","Manchi Chedu","1964","1963","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"40a0ed19-0e04-49ca-b154-09ea644f4c3d","raasi","Ankuram","Ankuram","1992","1993","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"189b8c0d-5338-4c89-a6fd-ad71a4161e70","rajendra prasad","Manushulatho Jagratha","Manushulatho Jagratha","2013","2014","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"064a1b80-2e95-4a77-ac4b-7ec65f351e60","sarath babu","Tholi Kodi Koosindi","Tholi Kodi Koosindi","1981","1980","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"dec1c836-cf1f-420a-8d23-35e0198bf800","sarath babu","Kokila","Kokila","1990","1989","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"d9290f37-89e9-40b1-abf0-b322355eaefd","satyanarayana","Paramanandayya Sishyula Katha","Paramanandayya Sishyula Katha","1967","1966","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"9c0caf4f-37de-4a4f-a119-c66111ac19ea","satyanarayana","Tata Manavadu","Tata Manavadu","1972","1973","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"77a8fb09-ef4a-455f-b17b-be23edee276f","sharada","Shakuntala","Shakuntala","1965","1966","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"8a7cc5ac-3e1b-4759-a3f1-5fd996087fab","sharada","Indradhanussu","Indradhanussu","1979","1978","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"b23ee9f4-39e4-439e-94f3-47c1ca9a2c47","sridevi","Govinda Govinda","Govinda Govinda","1994","1993","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"e0d66df8-d137-4e1f-b548-b59fbc1119b1","sridevi","Dasavatharam","Dasavatharam","1975","1976","-1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"fb999fd1-1cb7-479b-9881-3176071bfb57","sumanth","Madhumasam","Madhumasam","2008","2007","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"fba995f5-9ae8-4ab7-b11d-918b71fb2bac","sumanth","Pourudu","Pourudu","2009","2008","1","100","✅ AUTO-APPROVE","APPROVE","Same movie - year off by 1, perfect title match","APPROVE",""
"2cc3a13f-e10c-43ed-ba5b-1bef32090770","ali","Settai","Vettai","2013","2012","1","83","⚠️ MANUAL REVIEW","RESEARCH","Similar title (83% match), 1 years apart","",""
"22e0478c-72ce-45be-a898-75023571c0c4","ali","Prem Qaidi","Prema Khaidi","1991","1990","1","75","⚠️ MANUAL REVIEW","RESEARCH","Similar title (75% match), 1 years apart","",""
"297783fb-416d-4cd4-ae7f-8d013cc7ba18","amala","Aagraham","Aagraham","1991","1993","-2","100","⚠️ MANUAL REVIEW","RESEARCH","Same title, 2 years apart - verify same movie","",""
"14d8d9e8-671b-4921-a94a-6c64586ad103","k. balachander","Agni Sakshi","Agni Samadhi","1982","1983","-1","75","⚠️ MANUAL REVIEW","RESEARCH","Similar title (75% match), 1 years apart","",""
"23dde789-3d07-4c10-b7be-13d9d425639d","karthik","Indru","Indra","2003","2002","1","80","⚠️ MANUAL REVIEW","RESEARCH","Similar title (80% match), 1 years apart","",""
"c798227a-0d74-4763-8336-8b9ac1ff8655","karthik","Harichandra","Harischandraa","1998","1999","-1","84","⚠️ MANUAL REVIEW","RESEARCH","Similar title (84% match), 1 years apart","",""
"8859d38c-971b-48db-964f-8c4da1bc479c","madhavi","Bhale Ramudu","Bhale Thammudu","1984","1985","-1","78","⚠️ MANUAL REVIEW","RESEARCH","Similar title (78% match), 1 years apart","",""
"41c360e3-d447-4fe0-bb7a-b9fec9a624bd","prakash raj","Ayya","Arya","2005","2004","1","75","⚠️ MANUAL REVIEW","RESEARCH","Similar title (75% match), 1 years apart","",""
"da3fd401-4642-4120-8629-ee3affe1bfda","pushpavalli","Bhaktha Markandeya","Bhakta Markandeya","1957","1956","1","94","⚠️ MANUAL REVIEW","RESEARCH","Similar title (94% match), 1 years apart","",""
"da3fd401-4642-4120-8629-ee3affe1bfda","pushpavalli","Bhaktha Markandeya","Bhakta Markandeya","1957","1956","1","94","⚠️ MANUAL REVIEW","RESEARCH","Similar title (94% match), 1 years apart","",""
"3cdf27ee-c9dd-4625-a2ad-6f9c5240f94f","pushpavalli","Pratigna Palana","Pratignapalana","1966","1965","1","93","⚠️ MANUAL REVIEW","RESEARCH","Similar title (93% match), 1 years apart","",""
"7c7399d6-7d48-4ca5-8a7a-f8c959532e24","rambha","Dharma Chakkaram","Dharma Chakram","1997","1996","1","87","⚠️ MANUAL REVIEW","RESEARCH","Similar title (87% match), 1 years apart","",""
"09238625-06c2-4951-9c6a-f328e00761db","sarath babu","Aryan","Maryan","2014","2013","1","75","⚠️ MANUAL REVIEW","RESEARCH","Similar title (75% match), 1 years apart","",""
"c14ef911-a363-4792-892d-4ec3d1f2f37e","satyanarayana","Pelli Sandadi","Pelli Sandadi","1997","1995","2","100","⚠️ MANUAL REVIEW","RESEARCH","Same title, 2 years apart - verify same movie","",""
