Celebrity ID,Name,Current Issue,Corrected Wikipedia URL,Status,Notes
"d5045b23-8427-4866-a2be-55743c370b54","Srikanth","disambig_needed","https://en.wikipedia.org/wiki/Srikanth_(actor,_born_1968)","READY","Telugu actor suffix"
"db380131-e880-4b5c-a0bd-33e9e3fdb392","Teja","disambig_needed","https://en.wikipedia.org/wiki/Teja_(director)","READY","Telugu director"
"51ce4504-50d2-45bc-8eaa-1e67cea10812","Ravi Teja","disambig_needed","https://en.wikipedia.org/wiki/Ravi_Teja","READY","Primary article"
"d6c9a466-cd85-4d15-8ba3-dd545259fb30","Bhaskar","disambig_needed","https://en.wikipedia.org/wiki/Bhaskar_(director)","READY","Bommarillu Bhaskar"
"efb3d1b5-e094-426c-9a3c-fcad85f7e5c7","Nani","disambig_needed","https://en.wikipedia.org/wiki/Nani_(actor)","READY","Actor suffix"
"9be067b1-ac2f-4377-9d54-8b2567135b77","Krishna","disambig_needed","https://en.wikipedia.org/wiki/Krishna_(Telugu_actor)","READY","Telugu Superstar"
"f7a572c4-8061-4dfe-9fdc-71d2c2a6fb17","Krishna Kumari","disambig_needed","https://en.wikipedia.org/wiki/Krishna_Kumari_(actress)","READY","Actress suffix"
"bdd4f448-1c3c-4ced-9641-c80c76de6009","Rajendra Prasad","disambig_needed","https://en.wikipedia.org/wiki/Rajendra_Prasad_(actor)","READY","Distinguishes from President"
"b7a7c9a1-5fb6-4a89-9812-6f29e1be7ca6","Meena","disambig_needed","https://en.wikipedia.org/wiki/Meena_(actress)","AUTO_COMPLETED","Auto-completed with HIGH confidence"
"ded26c27-8ac9-4b1c-8c4d-b47af81f285a","Sridevi","disambig_needed","https://en.wikipedia.org/wiki/Sridevi","READY","Primary article"
"dc4de1c4-cf30-446f-bd52-cf0ba5db73b0","Madhavi","disambig_needed","https://en.wikipedia.org/wiki/Madhavi_(actress)","AUTO_COMPLETED","Auto-completed with HIGH confidence"
"3ad49413-6108-4a24-bd28-eda241ac7245","Nandamuri Balakrishna","disambig_needed","https://en.wikipedia.org/wiki/Nandamuri_Balakrishna","READY","Primary article"
"92bb4993-399d-4649-a695-fee27ec2ce55","Simran","disambig_needed","https://en.wikipedia.org/wiki/Simran_(actress)","AUTO_COMPLETED","Auto-completed with HIGH confidence"
